frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.379959000,0.264713000,10.0.0.2,0,0,0,64240,
0.506735000,0.126776000,10.0.0.1,0,0,1,65160,0.126776000
0.649104000,0.071927000,10.0.0.2,0,1,1,64256,0.142369000
0.649168000,0.000064000,10.0.0.2,131,1,1,64256,
0.751540000,0.078591000,10.0.0.1,0,1,132,65152,0.102372000
0.828947000,0.077407000,10.0.0.1,197,1,132,65152,
0.836405000,0.007458000,10.0.0.1,1448,198,132,65152,
0.836621000,0.000216000,10.0.0.1,1448,1646,132,65152,
0.836848000,0.000227000,10.0.0.1,1448,3094,132,65152,
0.837024000,0.000176000,10.0.0.1,1448,4542,132,65152,
0.837167000,0.000143000,10.0.0.1,1448,5990,132,65152,
0.837226000,0.000059000,10.0.0.1,1448,7438,132,65152,
0.837319000,0.000093000,10.0.0.1,1448,8886,132,65152,
0.837379000,0.000060000,10.0.0.1,1448,10334,132,65152,
0.837391000,0.000012000,10.0.0.1,1448,11782,132,65152,
0.944193000,0.041007000,10.0.0.2,0,132,198,64128,0.115246000
0.944293000,0.000100000,10.0.0.2,0,132,1646,67072,0.107888000
0.949639000,0.005346000,10.0.0.2,0,132,3094,70016,0.113018000
0.961369000,0.011730000,10.0.0.2,0,132,4542,72832,0.124521000
0.967954000,0.006585000,10.0.0.2,0,132,5990,75776,0.130930000
0.968071000,0.000117000,10.0.0.2,0,132,7438,78720,0.130904000
0.980196000,0.012125000,10.0.0.2,0,132,8886,80512,0.142970000
0.980279000,0.000083000,10.0.0.2,0,132,10334,80512,0.142960000
0.991825000,0.011546000,10.0.0.2,0,132,11782,80512,0.154446000
0.991937000,0.000112000,10.0.0.2,0,132,13230,80512,0.154546000
1.045440000,0.053503000,10.0.0.1,1448,13230,132,65152,
1.045535000,0.000095000,10.0.0.1,1448,14678,132,65152,
1.045551000,0.000016000,10.0.0.1,1448,16126,132,65152,
