frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.130953000,0.050266000,10.0.0.2,0,0,0,
0.332290000,0.143611000,10.0.0.1,0,0,1,0.201337000
0.553010000,0.000998000,10.0.0.2,0,1,1,0.220720000
0.553042000,0.000032000,10.0.0.2,131,1,1,
0.754693000,0.074386000,10.0.0.1,0,1,132,0.201651000
0.769935000,0.015242000,10.0.0.1,197,1,132,
0.773171000,0.003236000,10.0.0.1,1448,198,132,
0.773244000,0.000073000,10.0.0.1,1448,1646,132,
0.773250000,0.000006000,10.0.0.1,1448,3094,132,
0.773254000,0.000004000,10.0.0.1,1448,4542,132,
0.773258000,0.000004000,10.0.0.1,1448,5990,132,
0.773262000,0.000004000,10.0.0.1,1448,7438,132,
0.773266000,0.000004000,10.0.0.1,1448,8886,132,
0.773270000,0.000004000,10.0.0.1,1448,10334,132,
0.773273000,0.000003000,10.0.0.1,1448,11782,132,
0.981555000,0.201096000,10.0.0.2,0,132,198,0.211620000
0.987740000,0.006185000,10.0.0.2,0,132,1646,0.214569000
0.992938000,0.005198000,10.0.0.2,0,132,3094,0.219694000
0.999144000,0.006206000,10.0.0.2,0,132,4542,0.225894000
1.005308000,0.006164000,10.0.0.2,0,132,5990,0.232054000
1.011467000,0.006159000,10.0.0.2,0,132,7438,0.238209000
1.017600000,0.006133000,10.0.0.2,0,132,8886,0.244338000
1.022798000,0.005198000,10.0.0.2,0,132,10334,0.249532000
1.029035000,0.006237000,10.0.0.2,0,132,11782,0.255765000
1.035170000,0.006135000,10.0.0.2,0,132,13230,0.261897000
1.183769000,0.148599000,10.0.0.1,1448,13230,132,
1.183923000,0.000154000,10.0.0.1,1448,14678,132,
1.189059000,0.005136000,10.0.0.1,1448,16126,132,
1.189094000,0.000035000,10.0.0.1,1448,17574,132,
1.193213000,0.004119000,10.0.0.1,1448,19022,132,
1.193245000,0.000032000,10.0.0.1,1448,20470,132,
1.199438000,0.006193000,10.0.0.1,1448,21918,132,
1.199492000,0.000054000,10.0.0.1,1448,23366,132,
1.206734000,0.007242000,10.0.0.1,1448,24814,132,
1.206821000,0.000087000,10.0.0.1,1448,26262,132,
1.210954000,0.004133000,10.0.0.1,1448,27710,132,
1.210995000,0.000041000,10.0.0.1,1448,29158,132,
1.218199000,0.007204000,10.0.0.1,1448,30606,132,
1.218268000,0.000069000,10.0.0.1,1448,32054,132,
1.224473000,0.006205000,10.0.0.1,1448,33502,132,
1.224520000,0.000047000,10.0.0.1,1448,34950,132,
1.229644000,0.005124000,10.0.0.1,1448,36398,132,
1.229682000,0.000038000,10.0.0.1,1448,37846,132,
1.234851000,0.005169000,10.0.0.1,1448,39294,132,
1.234900000,0.000049000,10.0.0.1,1448,40742,132,
1.390065000,0.155165000,10.0.0.2,0,132,14678,0.206296000
1.396525000,0.006460000,10.0.0.2,0,132,16126,0.212602000
1.402785000,0.006260000,10.0.0.2,0,132,17574,0.213726000
1.407951000,0.005166000,10.0.0.2,0,132,19022,0.218857000
1.414022000,0.006071000,10.0.0.2,0,132,20470,0.220809000
1.420315000,0.006293000,10.0.0.2,0,132,21918,0.227070000
1.426539000,0.006224000,10.0.0.2,0,132,23366,0.227101000
1.432758000,0.006219000,10.0.0.2,0,132,24814,0.233266000
1.437912000,0.005154000,10.0.0.2,0,132,26262,0.231178000
1.444163000,0.006251000,10.0.0.2,0,132,27710,0.237342000
1.450436000,0.006273000,10.0.0.2,0,132,29158,0.239482000
1.457736000,0.007300000,10.0.0.2,0,132,30606,0.246741000
1.469314000,0.011578000,10.0.0.2,0,132,33502,0.251046000
1.481356000,0.012042000,10.0.0.2,0,132,36398,0.256836000
1.493626000,0.012270000,10.0.0.2,0,132,39294,0.263944000
1.504864000,0.011238000,10.0.0.2,0,132,42190,0.269964000
1.591386000,0.086522000,10.0.0.1,1448,42190,132,
1.591482000,0.000096000,10.0.0.1,1448,43638,132,
1.597747000,0.006265000,10.0.0.1,1448,45086,132,
1.597831000,0.000084000,10.0.0.1,1448,46534,132,
1.602988000,0.005157000,10.0.0.1,1448,47982,132,
