frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,64240,
0.215929000,0.012305000,10.0.0.1,0,0,1,65160,0.215929000
0.427109000,0.211180000,10.0.0.2,0,1,1,64256,0.211180000
0.427176000,0.000067000,10.0.0.2,131,1,1,64256,
0.627727000,0.004167000,10.0.0.1,0,1,132,65152,0.200551000
0.635934000,0.008207000,10.0.0.1,197,1,132,65152,
0.637108000,0.001174000,10.0.0.1,1448,198,132,65152,
0.637177000,0.000069000,10.0.0.1,1448,1646,132,65152,
0.637189000,0.000012000,10.0.0.1,1448,3094,132,65152,
0.637197000,0.000008000,10.0.0.1,1448,4542,132,65152,
0.637203000,0.000006000,10.0.0.1,1448,5990,132,65152,
0.637208000,0.000005000,10.0.0.1,1448,7438,132,65152,
0.637213000,0.000005000,10.0.0.1,1448,8886,132,65152,
0.637289000,0.000076000,10.0.0.1,1448,10334,132,65152,
0.637345000,0.000056000,10.0.0.1,1448,11782,132,65152,
0.844012000,0.206667000,10.0.0.2,0,132,198,64128,0.208078000
0.849182000,0.005170000,10.0.0.2,0,132,1646,67072,0.212074000
0.855338000,0.006156000,10.0.0.2,0,132,3094,70016,0.218161000
0.861511000,0.006173000,10.0.0.2,0,132,4542,72832,0.224322000
0.867681000,0.006170000,10.0.0.2,0,132,5990,75776,0.230484000
0.873939000,0.006258000,10.0.0.2,0,132,7438,78720,0.236736000
0.879102000,0.005163000,10.0.0.2,0,132,8886,80512,0.241894000
0.885418000,0.006316000,10.0.0.2,0,132,10334,80512,0.248205000
0.891581000,0.006163000,10.0.0.2,0,132,11782,80512,0.254292000
0.897717000,0.006136000,10.0.0.2,0,132,13230,80512,0.260372000
1.045969000,0.148252000,10.0.0.1,1448,13230,132,65152,
1.046038000,0.000069000,10.0.0.1,1448,14678,132,65152,
1.049202000,0.003164000,10.0.0.1,1448,16126,132,65152,
1.049278000,0.000076000,10.0.0.1,1448,17574,132,65152,
1.055443000,0.006165000,10.0.0.1,1448,19022,132,65152,
1.055539000,0.000096000,10.0.0.1,1448,20470,132,65152,
1.062698000,0.007159000,10.0.0.1,1448,21918,132,65152,
1.062780000,0.000082000,10.0.0.1,1448,23366,132,65152,
1.068961000,0.006181000,10.0.0.1,1448,24814,132,65152,
1.069035000,0.000074000,10.0.0.1,1448,26262,132,65152,
1.074310000,0.005275000,10.0.0.1,1448,27710,132,65152,
1.074383000,0.000073000,10.0.0.1,1448,29158,132,65152,
1.080611000,0.006228000,10.0.0.1,1448,30606,132,65152,
1.080685000,0.000074000,10.0.0.1,1448,32054,132,65152,
1.086866000,0.006181000,10.0.0.1,1448,33502,132,65152,
1.086946000,0.000080000,10.0.0.1,1448,34950,132,65152,
1.091130000,0.004184000,10.0.0.1,1448,36398,132,65152,
1.091206000,0.000076000,10.0.0.1,1448,37846,132,65152,
1.097382000,0.006176000,10.0.0.1,1448,39294,132,65152,
1.097461000,0.000079000,10.0.0.1,1448,40742,132,65152,
1.252658000,0.155197000,10.0.0.2,0,132,14678,80512,0.206689000
1.258231000,0.005573000,10.0.0.2,0,132,16126,80512,0.212193000
1.264312000,0.006081000,10.0.0.2,0,132,17574,80512,0.215110000
1.270803000,0.006491000,10.0.0.2,0,132,19022,80512,0.221525000
1.277079000,0.006276000,10.0.0.2,0,132,20470,80512,0.221636000
1.282316000,0.005237000,10.0.0.2,0,132,21918,80512,0.226777000
1.289579000,0.007263000,10.0.0.2,0,132,23366,80512,0.226881000
1.295749000,0.006170000,10.0.0.2,0,132,24814,80512,0.232969000
1.302018000,0.006269000,10.0.0.2,0,132,26262,80512,0.233057000
1.307232000,0.005214000,10.0.0.2,0,132,27710,80512,0.238197000
1.313460000,0.006228000,10.0.0.2,0,132,29158,80512,0.239150000
1.319604000,0.006144000,10.0.0.2,0,132,30606,80512,0.245221000
1.331873000,0.012269000,10.0.0.2,0,132,33502,80512,0.251188000
