frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.window_size,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,64240,
0.204016000,0.204016000,10.0.0.1,0,0,1,65160,0.204016000
0.416058000,0.002114000,10.0.0.2,0,1,1,64256,0.212042000
0.416112000,0.000054000,10.0.0.2,131,1,1,64256,
0.617885000,0.000019000,10.0.0.1,0,1,132,65152,0.201773000
0.624199000,0.006314000,10.0.0.1,197,1,132,65152,
0.625425000,0.001226000,10.0.0.1,1448,198,132,65152,
0.625454000,0.000029000,10.0.0.1,1448,1646,132,65152,
0.625457000,0.000003000,10.0.0.1,1448,3094,132,65152,
0.625460000,0.000003000,10.0.0.1,1448,4542,132,65152,
0.625462000,0.000002000,10.0.0.1,1448,5990,132,65152,
0.625464000,0.000002000,10.0.0.1,1448,7438,132,65152,
0.625466000,0.000002000,10.0.0.1,1448,8886,132,65152,
0.625468000,0.000002000,10.0.0.1,1448,10334,132,65152,
0.625470000,0.000002000,10.0.0.1,1448,11782,132,65152,
0.830592000,0.205122000,10.0.0.2,0,132,198,64128,0.206393000
0.837743000,0.007151000,10.0.0.2,0,132,1646,67072,0.212318000
0.843896000,0.006153000,10.0.0.2,0,132,3094,70016,0.218442000
0.849431000,0.005535000,10.0.0.2,0,132,4542,72832,0.223974000
0.855702000,0.006271000,10.0.0.2,0,132,5990,75776,0.230242000
0.861851000,0.006149000,10.0.0.2,0,132,7438,78720,0.236389000
0.868081000,0.006230000,10.0.0.2,0,132,8886,80512,0.242617000
0.873280000,0.005199000,10.0.0.2,0,132,10334,80512,0.247814000
0.879585000,0.002822000,10.0.0.2,0,132,11782,80512,0.254117000
0.885842000,0.006257000,10.0.0.2,0,132,13230,80512,0.260372000
1.032710000,0.146868000,10.0.0.1,1448,13230,132,65152,
1.032813000,0.000103000,10.0.0.1,1448,14678,132,65152,
1.037208000,0.004395000,10.0.0.1,1448,16126,132,65152,
1.037246000,0.000038000,10.0.0.1,1448,17574,132,65152,
1.044487000,0.007241000,10.0.0.1,1448,19022,132,65152,
1.044543000,0.000056000,10.0.0.1,1448,20470,132,65152,
1.050885000,0.006342000,10.0.0.1,1448,21918,132,65152,
1.051006000,0.000121000,10.0.0.1,1448,23366,132,65152,
1.055295000,0.004289000,10.0.0.1,1448,24814,132,65152,
1.055498000,0.000203000,10.0.0.1,1448,26262,132,65152,
1.062874000,0.007376000,10.0.0.1,1448,27710,132,65152,
1.062982000,0.000108000,10.0.0.1,1448,29158,132,65152,
1.069328000,0.006346000,10.0.0.1,1448,30606,132,65152,
1.069438000,0.000110000,10.0.0.1,1448,32054,132,65152,
1.073616000,0.004178000,10.0.0.1,1448,33502,132,65152,
1.073651000,0.000035000,10.0.0.1,1448,34950,132,65152,
1.080873000,0.007222000,10.0.0.1,1448,36398,132,65152,
1.080916000,0.000043000,10.0.0.1,1448,37846,132,65152,
1.086142000,0.005226000,10.0.0.1,1448,39294,132,65152,
1.086189000,0.000047000,10.0.0.1,1448,40742,132,65152,
1.240909000,0.102725000,10.0.0.2,0,132,14678,80512,0.208199000
1.246503000,0.005594000,10.0.0.2,0,132,16126,80512,0.213690000
1.253375000,0.006872000,10.0.0.2,0,132,17574,80512,0.216167000
