frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.229580000,0.004867000,10.0.0.2,0,0,0,
0.430736000,0.014403000,10.0.0.1,0,0,1,0.201156000
0.639732000,0.208996000,10.0.0.2,0,1,1,0.208996000
0.639803000,0.000071000,10.0.0.2,131,1,1,
0.840815000,0.201012000,10.0.0.1,0,1,132,0.201012000
0.880157000,0.039342000,10.0.0.1,197,1,132,
0.882558000,0.002401000,10.0.0.1,1448,198,132,
0.882635000,0.000077000,10.0.0.1,1448,1646,132,
0.882642000,0.000007000,10.0.0.1,1448,3094,132,
0.882649000,0.000007000,10.0.0.1,1448,4542,132,
0.882654000,0.000005000,10.0.0.1,1448,5990,132,
0.882661000,0.000007000,10.0.0.1,1448,7438,132,
0.882795000,0.000134000,10.0.0.1,1448,8886,132,
0.882836000,0.000041000,10.0.0.1,1448,10334,132,
0.882843000,0.000007000,10.0.0.1,1448,11782,132,
1.085398000,0.184364000,10.0.0.2,0,132,198,0.205241000
1.090778000,0.005380000,10.0.0.2,0,132,1646,0.208220000
1.097333000,0.006555000,10.0.0.2,0,132,3094,0.214698000
1.103685000,0.006352000,10.0.0.2,0,132,4542,0.221043000
1.115129000,0.011444000,10.0.0.2,0,132,5990,0.232480000
1.115174000,0.000045000,10.0.0.2,0,132,7438,0.232520000
1.121452000,0.006278000,10.0.0.2,0,132,8886,0.238791000
1.126823000,0.005371000,10.0.0.2,0,132,10334,0.244028000
1.133234000,0.006411000,10.0.0.2,0,132,11782,0.250398000
1.139597000,0.006363000,10.0.0.2,0,132,13230,0.256754000
1.285893000,0.146296000,10.0.0.1,1448,13230,132,
1.285988000,0.000095000,10.0.0.1,1448,14678,132,
1.292229000,0.006241000,10.0.0.1,1448,16126,132,
1.292412000,0.000183000,10.0.0.1,1448,17574,132,
1.299661000,0.007249000,10.0.0.1,1448,19022,132,
1.299754000,0.000093000,10.0.0.1,1448,20470,132,
1.303937000,0.004183000,10.0.0.1,1448,21918,132,
1.303973000,0.000036000,10.0.0.1,1448,23366,132,
1.316168000,0.012195000,10.0.0.1,1448,24814,132,
1.316322000,0.000154000,10.0.0.1,1448,26262,132,
1.316332000,0.000010000,10.0.0.1,1448,27710,132,
1.316338000,0.000006000,10.0.0.1,1448,29158,132,
1.323517000,0.007179000,10.0.0.1,1448,30606,132,
1.323564000,0.000047000,10.0.0.1,1448,32054,132,
1.327690000,0.004126000,10.0.0.1,1448,33502,132,
1.327725000,0.000035000,10.0.0.1,1448,34950,132,
1.333892000,0.006167000,10.0.0.1,1448,36398,132,
1.333955000,0.000063000,10.0.0.1,1448,37846,132,
1.341113000,0.007158000,10.0.0.1,1448,39294,132,
1.341148000,0.000035000,10.0.0.1,1448,40742,132,
1.495023000,0.153875000,10.0.0.2,0,132,14678,0.209130000
1.501336000,0.006313000,10.0.0.2,0,132,16126,0.215348000
1.507201000,0.005865000,10.0.0.2,0,132,17574,0.214972000
1.513266000,0.006065000,10.0.0.2,0,132,19022,0.220854000
1.519415000,0.006149000,10.0.0.2,0,132,20470,0.219754000
1.524808000,0.005393000,10.0.0.2,0,132,21918,0.225054000
1.531537000,0.006729000,10.0.0.2,0,132,23366,0.227600000
1.537233000,0.005696000,10.0.0.2,0,132,24814,0.233260000
1.543435000,0.006202000,10.0.0.2,0,132,26262,0.227267000
1.549286000,0.005851000,10.0.0.2,0,132,27710,0.232964000
1.555712000,0.006426000,10.0.0.2,0,132,29158,0.239380000
1.560862000,0.005150000,10.0.0.2,0,132,30606,0.244524000
1.579312000,0.018450000,10.0.0.2,0,132,34950,0.251622000
1.585579000,0.006267000,10.0.0.2,0,132,36398,0.257854000
1.597062000,0.011483000,10.0.0.2,0,132,39294,0.263107000
1.609369000,0.012307000,10.0.0.2,0,132,42190,0.268221000
1.695594000,0.086225000,10.0.0.1,1448,42190,132,
1.695683000,0.000089000,10.0.0.1,1448,43638,132,
1.702847000,0.007164000,10.0.0.1,1448,45086,132,
1.702887000,0.000040000,10.0.0.1,1448,46534,132,
1.707016000,0.004129000,10.0.0.1,1448,47982,132,
1.707051000,0.000035000,10.0.0.1,1448,49430,132,
1.712883000,0.005832000,10.0.0.1,1448,50878,132,
1.712913000,0.000030000,10.0.0.1,1448,52326,132,
1.720035000,0.007122000,10.0.0.1,1448,53774,132,
1.720062000,0.000027000,10.0.0.1,1448,55222,132,
1.726226000,0.006164000,10.0.0.1,1448,56670,132,
1.726272000,0.000046000,10.0.0.1,1448,58118,132,
1.732478000,0.006206000,10.0.0.1,1448,59566,132,
1.732520000,0.000042000,10.0.0.1,1448,61014,132,
1.737649000,0.005129000,10.0.0.1,1448,62462,132,
1.737681000,0.000032000,10.0.0.1,1448,63910,132,
1.743821000,0.006140000,10.0.0.1,1448,65358,132,
1.743876000,0.000055000,10.0.0.1,1448,66806,132,
1.750017000,0.006141000,10.0.0.1,1448,68254,132,
1.750061000,0.000044000,10.0.0.1,1448,69702,132,
1.756195000,0.006134000,10.0.0.1,1448,71150,132,
