Nebby Evaluation Report
============================================================

TRACE-LEVEL ACCURACY : 37/103 = 35.9%

  FILE                                               TRUE         PRED          CONF  OK?
  ────────────────────────────────────────────────── ──────────── ──────────── ─────  ───
  cc-bbr_aqm-droptail_bw-2000_buf-20_1776957088_tcp.csv bbr          bbr          100%  ✓
  cc-bbr_aqm-droptail_bw-2000_buf-20_1776957285_tcp.csv bbr          bbr          100%  ✓
  cc-bbr_aqm-droptail_bw-2000_buf-20_1777003888_tcp.csv bbr          bbr          100%  ✓
  cc-bbr_aqm-droptail_bw-2000_buf-20_1777004131_tcp.csv bbr          bbr          100%  ✓
  cc-bbr_aqm-droptail_bw-2000_buf-20_1777033023_tcp.csv bbr          bbr          100%  ✓
  cc-bbr_aqm-droptail_bw-2000_buf-20_1777033213_tcp.csv bbr          bbr          100%  ✓
  cc-bic_aqm-droptail_bw-2000_buf-20_1776957472_tcp.csv bic          veno         100%  ✗
  cc-bic_aqm-droptail_bw-2000_buf-20_1776957653_tcp.csv bic          bic          100%  ✓
  cc-bic_aqm-droptail_bw-2000_buf-20_1777004361_tcp.csv bic          veno         100%  ✗
  cc-bic_aqm-droptail_bw-2000_buf-20_1777004593_tcp.csv bic          cubic        100%  ✗
  cc-bic_aqm-droptail_bw-2000_buf-20_1777034050_tcp.csv bic          bic          100%  ✓
  cc-bic_aqm-droptail_bw-2000_buf-20_1777034264_tcp.csv bic          cdg          100%  ✗
  cc-cdg_aqm-droptail_bw-2000_buf-20_1776957873_tcp.csv cdg          htcp         100%  ✗
  cc-cdg_aqm-droptail_bw-2000_buf-20_1776958148_tcp.csv cdg          cdg           33%  ✓
  cc-cdg_aqm-droptail_bw-2000_buf-20_1777004880_tcp.csv cdg          bic          100%  ✗
  cc-cdg_aqm-droptail_bw-2000_buf-20_1777005229_tcp.csv cdg          cdg           50%  ✓
  cc-cdg_aqm-droptail_bw-2000_buf-20_1777034520_tcp.csv cdg          cubic         33%  ✗
  cc-cdg_aqm-droptail_bw-2000_buf-20_1777034776_tcp.csv cdg          cdg           50%  ✓
  cc-cubic_aqm-droptail_bw-2000_buf-20_1776956714_tcp.csv cubic        hybla        100%  ✗
  cc-cubic_aqm-droptail_bw-2000_buf-20_1776956903_tcp.csv cubic        htcp         100%  ✗
  cc-cubic_aqm-droptail_bw-2000_buf-20_1777003428_tcp.csv cubic        cubic        100%  ✓
  cc-cubic_aqm-droptail_bw-2000_buf-20_1777003659_tcp.csv cubic        cubic        100%  ✓
  cc-cubic_aqm-droptail_bw-2000_buf-20_1777032645_tcp.csv cubic        cubic        100%  ✓
  cc-cubic_aqm-droptail_bw-2000_buf-20_1777032835_tcp.csv cubic        bic          100%  ✗
  cc-dctcp_aqm-droptail_bw-2000_buf-20_1776958339_tcp.csv dctcp        htcp         100%  ✗
  cc-dctcp_aqm-droptail_bw-2000_buf-20_1776958539_tcp.csv dctcp        nv           100%  ✗
  cc-dctcp_aqm-droptail_bw-2000_buf-20_1777005453_tcp.csv dctcp        htcp         100%  ✗
  cc-dctcp_aqm-droptail_bw-2000_buf-20_1777005693_tcp.csv dctcp        nv           100%  ✗
  cc-dctcp_aqm-droptail_bw-2000_buf-20_1777034983_tcp.csv dctcp        htcp         100%  ✗
  cc-dctcp_aqm-droptail_bw-2000_buf-20_1777035188_tcp.csv dctcp        nv           100%  ✗
  cc-highspeed_aqm-droptail_bw-2000_buf-20_1776958764_tcp.csv highspeed    bic          100%  ✗
  cc-highspeed_aqm-droptail_bw-2000_buf-20_1776958999_tcp.csv highspeed    veno         100%  ✗
  cc-highspeed_aqm-droptail_bw-2000_buf-20_1777005932_tcp.csv highspeed    bic          100%  ✗
  cc-highspeed_aqm-droptail_bw-2000_buf-20_1777006169_tcp.csv highspeed    bic          100%  ✗
  cc-highspeed_aqm-droptail_bw-2000_buf-20_1777035481_tcp.csv highspeed    cdg           25%  ✗
  cc-highspeed_aqm-droptail_bw-2000_buf-20_1777035681_tcp.csv highspeed    bic          100%  ✗
  cc-htcp_aqm-droptail_bw-2000_buf-20_1776959225_tcp.csv htcp         htcp         100%  ✓
  cc-htcp_aqm-droptail_bw-2000_buf-20_1776959470_tcp.csv htcp         htcp         100%  ✓
  cc-htcp_aqm-droptail_bw-2000_buf-20_1777006402_tcp.csv htcp         htcp         100%  ✓
  cc-htcp_aqm-droptail_bw-2000_buf-20_1777006642_tcp.csv htcp         htcp         100%  ✓
  cc-htcp_aqm-droptail_bw-2000_buf-20_1777035897_tcp.csv htcp         bic          100%  ✗
  cc-htcp_aqm-droptail_bw-2000_buf-20_1777036110_tcp.csv htcp         cdg          100%  ✗
  cc-hybla_aqm-droptail_bw-2000_buf-20_1776959704_tcp.csv hybla        cdg           50%  ✗
  cc-hybla_aqm-droptail_bw-2000_buf-20_1776959931_tcp.csv hybla        hybla        100%  ✓
  cc-hybla_aqm-droptail_bw-2000_buf-20_1777006882_tcp.csv hybla        cubic        100%  ✗
  cc-hybla_aqm-droptail_bw-2000_buf-20_1777007117_tcp.csv hybla        hybla        100%  ✓
  cc-hybla_aqm-droptail_bw-2000_buf-20_1777036330_tcp.csv hybla        hybla        100%  ✓
  cc-hybla_aqm-droptail_bw-2000_buf-20_1777036562_tcp.csv hybla        hybla        100%  ✓
  cc-illinois_aqm-droptail_bw-2000_buf-20_1776960170_tcp.csv illinois     cubic        100%  ✗
  cc-illinois_aqm-droptail_bw-2000_buf-20_1776960405_tcp.csv illinois     nv           100%  ✗
  cc-illinois_aqm-droptail_bw-2000_buf-20_1777007608_tcp.csv illinois     veno         100%  ✗
  cc-illinois_aqm-droptail_bw-2000_buf-20_1777007846_tcp.csv illinois     bic          100%  ✗
  cc-illinois_aqm-droptail_bw-2000_buf-20_1777036779_tcp.csv illinois     reno         100%  ✗
  cc-illinois_aqm-droptail_bw-2000_buf-20_1777036987_tcp.csv illinois     lp           100%  ✗
  cc-lp_aqm-droptail_bw-2000_buf-20_1776960643_tcp.csv lp           bic          100%  ✗
  cc-lp_aqm-droptail_bw-2000_buf-20_1776961471_tcp.csv lp           reno         100%  ✗
  cc-lp_aqm-droptail_bw-2000_buf-20_1777008084_tcp.csv lp           htcp         100%  ✗
  cc-lp_aqm-droptail_bw-2000_buf-20_1777008325_tcp.csv lp           nv           100%  ✗
  cc-lp_aqm-droptail_bw-2000_buf-20_1777037762_tcp.csv lp           htcp         100%  ✗
  cc-lp_aqm-droptail_bw-2000_buf-20_1777037956_tcp.csv lp           nv           100%  ✗
  cc-nv_aqm-droptail_bw-2000_buf-20_1776961696_tcp.csv nv           dctcp        100%  ✗
  cc-nv_aqm-droptail_bw-2000_buf-20_1776961924_tcp.csv nv           nv           100%  ✓
  cc-nv_aqm-droptail_bw-2000_buf-20_1777008560_tcp.csv nv           reno         100%  ✗
  cc-nv_aqm-droptail_bw-2000_buf-20_1777008809_tcp.csv nv           nv           100%  ✓
  cc-nv_aqm-droptail_bw-2000_buf-20_1777038157_tcp.csv nv           lp           100%  ✗
  cc-nv_aqm-droptail_bw-2000_buf-20_1777038364_tcp.csv nv           nv           100%  ✓
  cc-reno_aqm-droptail_bw-2000_buf-20_1776956288_tcp.csv reno         bic          100%  ✗
  cc-reno_aqm-droptail_bw-2000_buf-20_1776956518_tcp.csv reno         reno         100%  ✓
  cc-reno_aqm-droptail_bw-2000_buf-20_1777002952_tcp.csv reno         bic          100%  ✗
  cc-reno_aqm-droptail_bw-2000_buf-20_1777003188_tcp.csv reno         nv           100%  ✗
  cc-reno_aqm-droptail_bw-2000_buf-20_1777032274_tcp.csv reno         htcp         100%  ✗
  cc-reno_aqm-droptail_bw-2000_buf-20_1777032460_tcp.csv reno         reno         100%  ✓
  cc-scalable_aqm-droptail_bw-2000_buf-20_1776962157_tcp.csv scalable     bic          100%  ✗
  cc-scalable_aqm-droptail_bw-2000_buf-20_1776962398_tcp.csv scalable     hybla        100%  ✗
  cc-scalable_aqm-droptail_bw-2000_buf-20_1777009049_tcp.csv scalable     westwood     100%  ✗
  cc-scalable_aqm-droptail_bw-2000_buf-20_1777009284_tcp.csv scalable     hybla        100%  ✗
  cc-scalable_aqm-droptail_bw-2000_buf-20_1777044184_tcp.csv scalable     bic          100%  ✗
  cc-scalable_aqm-droptail_bw-2000_buf-20_1777044406_tcp.csv scalable     hybla        100%  ✗
  cc-vegas_aqm-droptail_bw-2000_buf-20_1776962619_tcp.csv vegas        vegas        100%  ✓
  cc-vegas_aqm-droptail_bw-2000_buf-20_1776962847_tcp.csv vegas        htcp         100%  ✗
  cc-vegas_aqm-droptail_bw-2000_buf-20_1777009522_tcp.csv vegas        vegas        100%  ✓
  cc-vegas_aqm-droptail_bw-2000_buf-20_1777009757_tcp.csv vegas        westwood     100%  ✗
  cc-vegas_aqm-droptail_bw-2000_buf-20_1777045502_tcp.csv vegas        vegas        100%  ✓
  cc-vegas_aqm-droptail_bw-2000_buf-20_1777045713_tcp.csv vegas        cubic        100%  ✗
  cc-veno_aqm-droptail_bw-2000_buf-20_1776963084_tcp.csv veno         veno         100%  ✓
  cc-veno_aqm-droptail_bw-2000_buf-20_1776963315_tcp.csv veno         veno         100%  ✓
  cc-veno_aqm-droptail_bw-2000_buf-20_1777009984_tcp.csv veno         veno         100%  ✓
  cc-veno_aqm-droptail_bw-2000_buf-20_1777027277_tcp.csv veno         veno         100%  ✓
  cc-veno_aqm-droptail_bw-2000_buf-20_1777027475_tcp.csv veno         veno         100%  ✓
  cc-veno_aqm-droptail_bw-2000_buf-20_1777045941_tcp.csv veno         veno         100%  ✓
  cc-veno_aqm-droptail_bw-2000_buf-20_1777046171_tcp.csv veno         veno         100%  ✓
  cc-westwood_aqm-droptail_bw-2000_buf-20_1776963552_tcp.csv westwood     htcp         100%  ✗
  cc-westwood_aqm-droptail_bw-2000_buf-20_1776963847_tcp.csv westwood     nv           100%  ✗
  cc-westwood_aqm-droptail_bw-2000_buf-20_1777027665_tcp.csv westwood     veno         100%  ✗
  cc-westwood_aqm-droptail_bw-2000_buf-20_1777027861_tcp.csv westwood     nv           100%  ✗
  cc-westwood_aqm-droptail_bw-2000_buf-20_1777044624_tcp.csv westwood     bic          100%  ✗
  cc-westwood_aqm-droptail_bw-2000_buf-20_1777044852_tcp.csv westwood     nv           100%  ✗
  cc-yeah_aqm-droptail_bw-2000_buf-20_1776964088_tcp.csv yeah         bic          100%  ✗
  cc-yeah_aqm-droptail_bw-2000_buf-20_1776964323_tcp.csv yeah         hybla        100%  ✗
  cc-yeah_aqm-droptail_bw-2000_buf-20_1777028052_tcp.csv yeah         cdg          100%  ✗
  cc-yeah_aqm-droptail_bw-2000_buf-20_1777028242_tcp.csv yeah         hybla        100%  ✗
  cc-yeah_aqm-droptail_bw-2000_buf-20_1777045062_tcp.csv yeah         bic          100%  ✗
  cc-yeah_aqm-droptail_bw-2000_buf-20_1777045266_tcp.csv yeah         hybla        100%  ✗

PER-CLASS TRACE ACCURACY:
  bbr            : 6/6 = 100%
  bic            : 2/6 = 33%
  cdg            : 3/6 = 50%
  cubic          : 3/6 = 50%
  dctcp          : 0/6 = 0%
  highspeed      : 0/6 = 0%
  htcp           : 4/6 = 67%
  hybla          : 4/6 = 67%
  illinois       : 0/6 = 0%
  lp             : 0/6 = 0%
  nv             : 3/6 = 50%
  reno           : 2/6 = 33%
  scalable       : 0/6 = 0%
  vegas          : 3/6 = 50%
  veno           : 7/7 = 100%
  westwood       : 0/6 = 0%
  yeah           : 0/6 = 0%

SEGMENT-LEVEL ACCURACY (GNB only): 30.4%  (35/115)

SEGMENT-LEVEL CLASSIFICATION REPORT:
              precision    recall  f1-score   support

         bic      0.111     0.333     0.167         6
         cdg      0.583     0.350     0.438        20
       cubic      0.333     0.500     0.400         6
       dctcp      0.000     0.000     0.000         6
   highspeed      0.000     0.000     0.000         9
        htcp      0.267     0.667     0.381         6
       hybla      0.267     0.571     0.364         7
    illinois      0.000     0.000     0.000         6
          lp      0.000     0.000     0.000         6
          nv      0.188     0.500     0.273         6
        reno      0.286     0.333     0.308         6
    scalable      0.000     0.000     0.000         6
       vegas      0.600     0.500     0.545         6
        veno      0.538     1.000     0.700         7
    westwood      0.000     0.000     0.000         6
        yeah      0.000     0.000     0.000         6

