frame.time_relative,frame.time_delta,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
0.185245000,0.153931000,5,60,10.0.0.2,55880,192.0.66.108,443,0,0,0
0.336207000,0.150962000,6,48,192.0.66.108,443,10.0.0.2,55880,0,0,1
0.497030000,0.160823000,7,40,10.0.0.2,55880,192.0.66.108,443,0,1,1
0.497054000,0.000024000,8,442,10.0.0.2,55880,192.0.66.108,443,402,1,1
1.499458000,1.002404000,9,442,10.0.0.2,55880,192.0.66.108,443,402,1,1
3.434673000,1.935215000,10,442,10.0.0.2,55880,192.0.66.108,443,402,1,1
3.440143000,0.005470000,11,48,192.0.66.108,443,10.0.0.2,55880,0,0,1
3.442501000,0.002358000,12,40,192.0.66.108,443,10.0.0.2,55880,0,1,403
3.541274000,0.098773000,13,1436,192.0.66.108,443,10.0.0.2,55880,1396,1,403
3.620836000,0.079562000,14,40,10.0.0.2,55880,192.0.66.108,443,0,403,1
3.683531000,0.062695000,15,40,10.0.0.2,55880,192.0.66.108,443,0,403,1397
3.879587000,0.196056000,16,1048,192.0.66.108,443,10.0.0.2,55880,1008,1397,403
4.058303000,0.141456000,18,40,10.0.0.2,55880,192.0.66.108,443,0,403,2405
4.058355000,0.000052000,19,120,10.0.0.2,55880,192.0.66.108,443,80,403,2405
4.129529000,0.071174000,20,327,192.0.66.108,443,10.0.0.2,55880,287,2405,483
4.129599000,0.000070000,21,327,192.0.66.108,443,10.0.0.2,55880,287,2692,483
4.308450000,0.178851000,22,181,10.0.0.2,55880,192.0.66.108,443,141,483,2692
4.371064000,0.062614000,23,40,10.0.0.2,55880,192.0.66.108,443,0,624,2979
4.400083000,0.029019000,24,375,192.0.66.108,443,10.0.0.2,55880,335,2979,624
4.557689000,0.157606000,25,40,10.0.0.2,55880,192.0.66.108,443,0,624,3314
4.869647000,0.179729000,30,60,10.0.0.2,51826,192.0.66.108,443,0,0,0
5.052484000,0.182837000,31,48,192.0.66.108,443,10.0.0.2,51826,0,0,1
