frame.time_relative,frame.time_delta,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
0.688404000,0.148210000,5,60,10.0.0.2,36198,90.130.70.73,80,0,0,0
0.953432000,0.265028000,6,60,90.130.70.73,80,10.0.0.2,36198,0,0,1
1.124955000,0.171523000,7,52,10.0.0.2,36198,90.130.70.73,80,0,1,1
1.125182000,0.000227000,8,189,10.0.0.2,36198,90.130.70.73,80,137,1,1
1.143638000,0.018456000,9,52,90.130.70.73,80,10.0.0.2,36198,0,1,138
1.592865000,0.449227000,10,52,90.130.70.73,80,10.0.0.2,36198,0,1,138
1.593025000,0.000160000,11,1436,90.130.70.73,80,10.0.0.2,36198,1384,1,138
1.593144000,0.000119000,12,1436,90.130.70.73,80,10.0.0.2,36198,1384,1385,138
1.593206000,0.000062000,13,1436,90.130.70.73,80,10.0.0.2,36198,1384,2769,138
1.593280000,0.000074000,14,1436,90.130.70.73,80,10.0.0.2,36198,1384,4153,138
1.749661000,0.156381000,15,52,10.0.0.2,36198,90.130.70.73,80,0,138,1385
1.767685000,0.018024000,16,1436,90.130.70.73,80,10.0.0.2,36198,1384,5537,138
1.767859000,0.000174000,17,1436,90.130.70.73,80,10.0.0.2,36198,1384,6921,138
1.767870000,0.000011000,18,1436,90.130.70.73,80,10.0.0.2,36198,1384,8305,138
1.767924000,0.000054000,19,1436,90.130.70.73,80,10.0.0.2,36198,1384,9689,138
1.767931000,0.000007000,20,1436,90.130.70.73,80,10.0.0.2,36198,1384,11073,138
1.767935000,0.000004000,21,1436,90.130.70.73,80,10.0.0.2,36198,1384,12457,138
1.812173000,0.044238000,22,52,10.0.0.2,36198,90.130.70.73,80,0,138,2769
1.874821000,0.062648000,23,52,10.0.0.2,36198,90.130.70.73,80,0,138,4153
1.937470000,0.062649000,24,52,10.0.0.2,36198,90.130.70.73,80,0,138,5537
2.000261000,0.062791000,25,52,10.0.0.2,36198,90.130.70.73,80,0,138,6921
2.022410000,0.022149000,26,1436,90.130.70.73,80,10.0.0.2,36198,1384,13841,138
2.022497000,0.000087000,27,1436,90.130.70.73,80,10.0.0.2,36198,1384,15225,138
2.061261000,0.038764000,28,52,10.0.0.2,36198,90.130.70.73,80,0,138,8305
2.077837000,0.016576000,29,1436,90.130.70.73,80,10.0.0.2,36198,1384,16609,138
2.077953000,0.000116000,30,1436,90.130.70.73,80,10.0.0.2,36198,1384,17993,138
2.124284000,0.046331000,31,52,10.0.0.2,36198,90.130.70.73,80,0,138,9689
2.124358000,0.000074000,32,52,10.0.0.2,36198,90.130.70.73,80,0,138,11073
2.142230000,0.017872000,33,1436,90.130.70.73,80,10.0.0.2,36198,1384,19377,138
2.142310000,0.000080000,34,1436,90.130.70.73,80,10.0.0.2,36198,1384,20761,138
2.186718000,0.044408000,35,52,10.0.0.2,36198,90.130.70.73,80,0,138,11073
2.207911000,0.021193000,36,1436,90.130.70.73,80,10.0.0.2,36198,1384,22145,138
2.208010000,0.000099000,37,1436,90.130.70.73,80,10.0.0.2,36198,1384,23529,138
2.249635000,0.041625000,38,52,10.0.0.2,36198,90.130.70.73,80,0,138,11073
2.266059000,0.016424000,39,1436,90.130.70.73,80,10.0.0.2,36198,1384,24913,138
2.266139000,0.000080000,40,1436,90.130.70.73,80,10.0.0.2,36198,1384,26297,138
2.311389000,0.045250000,41,52,10.0.0.2,36198,90.130.70.73,80,0,138,11073
2.324897000,0.013508000,42,1436,90.130.70.73,80,10.0.0.2,36198,1384,27681,138
2.324975000,0.000078000,43,1436,90.130.70.73,80,10.0.0.2,36198,1384,29065,138
2.374761000,0.049786000,44,52,10.0.0.2,36198,90.130.70.73,80,0,138,11073
2.391585000,0.016824000,45,1436,90.130.70.73,80,10.0.0.2,36198,1384,30449,138
2.391650000,0.000065000,46,1436,90.130.70.73,80,10.0.0.2,36198,1384,31833,138
2.391656000,0.000006000,47,1436,90.130.70.73,80,10.0.0.2,36198,1384,33217,138
2.391660000,0.000004000,48,1436,90.130.70.73,80,10.0.0.2,36198,1384,34601,138
2.436890000,0.045230000,49,52,10.0.0.2,36198,90.130.70.73,80,0,138,11073
2.499944000,0.063054000,50,52,10.0.0.2,36198,90.130.70.73,80,0,138,11073
2.517136000,0.017192000,51,1436,90.130.70.73,80,10.0.0.2,36198,1384,35985,138
2.562188000,0.045052000,52,52,10.0.0.2,36198,90.130.70.73,80,0,138,11073
2.579489000,0.017301000,53,1436,90.130.70.73,80,10.0.0.2,36198,1384,37369,138
