frame.time_relative,frame.time_delta,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
0.247701000,0.183799000,5,60,10.0.0.2,55540,148.113.1.33,80,0,0,0
0.393031000,0.145330000,6,60,148.113.1.33,80,10.0.0.2,55540,0,0,1
0.559107000,0.166076000,7,52,10.0.0.2,55540,148.113.1.33,80,0,1,1
0.559179000,0.000072000,8,194,10.0.0.2,55540,148.113.1.33,80,142,1,1
0.576674000,0.017495000,9,52,148.113.1.33,80,10.0.0.2,55540,0,1,143
0.825099000,0.248425000,10,52,148.113.1.33,80,10.0.0.2,55540,0,1,143
0.825176000,0.000077000,11,422,148.113.1.33,80,10.0.0.2,55540,370,1,143
0.997168000,0.171992000,12,52,10.0.0.2,55540,148.113.1.33,80,0,143,371
1.059463000,0.062295000,13,60,10.0.0.2,41414,148.113.1.33,443,0,0,0
1.143019000,0.083556000,14,60,148.113.1.33,443,10.0.0.2,41414,0,0,1
1.309741000,0.166722000,15,52,10.0.0.2,41414,148.113.1.33,443,0,1,1
1.309813000,0.000072000,16,463,10.0.0.2,41414,148.113.1.33,443,411,1,1
1.326686000,0.016873000,17,52,148.113.1.33,443,10.0.0.2,41414,0,1,412
1.574381000,0.247695000,18,1436,148.113.1.33,443,10.0.0.2,41414,1384,1,412
1.574459000,0.000078000,19,1436,148.113.1.33,443,10.0.0.2,41414,1384,1385,412
1.574466000,0.000007000,20,1380,148.113.1.33,443,10.0.0.2,41414,1328,2769,412
1.574471000,0.000005000,21,1056,148.113.1.33,443,10.0.0.2,41414,1004,4097,412
1.745984000,0.171513000,22,52,10.0.0.2,41414,148.113.1.33,443,0,412,1385
1.809039000,0.063055000,23,52,10.0.0.2,41414,148.113.1.33,443,0,412,2769
1.871871000,0.062832000,24,52,10.0.0.2,41414,148.113.1.33,443,0,412,4097
1.934070000,0.062199000,25,52,10.0.0.2,41414,148.113.1.33,443,0,412,5101
1.934209000,0.000139000,26,145,10.0.0.2,41414,148.113.1.33,443,93,412,5101
2.115311000,0.181102000,27,326,148.113.1.33,443,10.0.0.2,41414,274,5101,505
2.245785000,0.130474000,28,223,10.0.0.2,41414,148.113.1.33,443,171,505,5375
2.331971000,0.086186000,29,1436,148.113.1.33,443,10.0.0.2,41414,1384,5375,676
2.332076000,0.000105000,30,1436,148.113.1.33,443,10.0.0.2,41414,1384,6759,676
2.332088000,0.000012000,31,1436,148.113.1.33,443,10.0.0.2,41414,1384,8143,676
2.332095000,0.000007000,32,1436,148.113.1.33,443,10.0.0.2,41414,1384,9527,676
2.332100000,0.000005000,33,1436,148.113.1.33,443,10.0.0.2,41414,1384,10911,676
2.332107000,0.000007000,34,1436,148.113.1.33,443,10.0.0.2,41414,1384,12295,676
2.332113000,0.000006000,35,1436,148.113.1.33,443,10.0.0.2,41414,1384,13679,676
2.332120000,0.000007000,36,1436,148.113.1.33,443,10.0.0.2,41414,1384,15063,676
2.332126000,0.000006000,37,1436,148.113.1.33,443,10.0.0.2,41414,1384,16447,676
2.332134000,0.000008000,38,1436,148.113.1.33,443,10.0.0.2,41414,1384,17831,676
2.496152000,0.164018000,39,52,10.0.0.2,41414,148.113.1.33,443,0,676,8143
2.621516000,0.125364000,40,52,10.0.0.2,41414,148.113.1.33,443,0,676,9527
2.621575000,0.000059000,41,52,10.0.0.2,41414,148.113.1.33,443,0,676,10911
2.639179000,0.017604000,42,1436,148.113.1.33,443,10.0.0.2,41414,1384,19215,676
2.639235000,0.000056000,43,1436,148.113.1.33,443,10.0.0.2,41414,1384,20599,676
2.639240000,0.000005000,44,1436,148.113.1.33,443,10.0.0.2,41414,1384,21983,676
2.639244000,0.000004000,45,1436,148.113.1.33,443,10.0.0.2,41414,1384,23367,676
2.760071000,0.120827000,46,1436,148.113.1.33,443,10.0.0.2,41414,1384,24751,676
2.760141000,0.000070000,47,1436,148.113.1.33,443,10.0.0.2,41414,1384,26135,676
2.760146000,0.000005000,48,1436,148.113.1.33,443,10.0.0.2,41414,1384,27519,676
2.760150000,0.000004000,49,1436,148.113.1.33,443,10.0.0.2,41414,1384,28903,676
2.808407000,0.048257000,50,52,10.0.0.2,41414,148.113.1.33,443,0,676,10911
2.870758000,0.062351000,51,52,10.0.0.2,41414,148.113.1.33,443,0,676,10911
2.887860000,0.017102000,52,1436,148.113.1.33,443,10.0.0.2,41414,1384,30287,676
2.933807000,0.045947000,53,52,10.0.0.2,41414,148.113.1.33,443,0,676,10911
2.950380000,0.016573000,54,1436,148.113.1.33,443,10.0.0.2,41414,1384,31671,676
2.995802000,0.045422000,55,52,10.0.0.2,41414,148.113.1.33,443,0,676,10911
3.014540000,0.018738000,56,1436,148.113.1.33,443,10.0.0.2,41414,1384,10911,676
3.058224000,0.043684000,57,52,10.0.0.2,41414,148.113.1.33,443,0,676,10911
3.075311000,0.017087000,58,1436,148.113.1.33,443,10.0.0.2,41414,1384,33055,676
3.120683000,0.045372000,59,52,10.0.0.2,41414,148.113.1.33,443,0,676,10911
3.183305000,0.062622000,60,52,10.0.0.2,41414,148.113.1.33,443,0,676,10911
3.197237000,0.013932000,61,1436,148.113.1.33,443,10.0.0.2,41414,1384,34439,676
3.246723000,0.049486000,62,52,10.0.0.2,41414,148.113.1.33,443,0,676,10911
3.264998000,0.018275000,63,1436,148.113.1.33,443,10.0.0.2,41414,1384,35823,676
3.308782000,0.043784000,64,52,10.0.0.2,41414,148.113.1.33,443,0,676,10911
3.369917000,0.061135000,65,52,10.0.0.2,41414,148.113.1.33,443,0,676,12295
3.388304000,0.018387000,66,1436,148.113.1.33,443,10.0.0.2,41414,1384,37207,676
3.433393000,0.045089000,67,52,10.0.0.2,41414,148.113.1.33,443,0,676,12295
3.433472000,0.000079000,68,52,10.0.0.2,41414,148.113.1.33,443,0,676,12295
3.495299000,0.061827000,69,52,10.0.0.2,41414,148.113.1.33,443,0,676,12295
3.525420000,0.030121000,70,1436,148.113.1.33,443,10.0.0.2,41414,1384,12295,676
3.525517000,0.000097000,71,1436,148.113.1.33,443,10.0.0.2,41414,1384,38591,676
3.558341000,0.032824000,72,52,10.0.0.2,41414,148.113.1.33,443,0,676,12295
3.628171000,0.069830000,73,1436,148.113.1.33,443,10.0.0.2,41414,1384,39975,676
3.683844000,0.055673000,74,52,10.0.0.2,41414,148.113.1.33,443,0,676,13679
3.700631000,0.016787000,75,1436,148.113.1.33,443,10.0.0.2,41414,1384,41359,676
3.745587000,0.044956000,76,52,10.0.0.2,41414,148.113.1.33,443,0,676,13679
3.762851000,0.017264000,77,1436,148.113.1.33,443,10.0.0.2,41414,1384,13679,676
3.762929000,0.000078000,78,1436,148.113.1.33,443,10.0.0.2,41414,1384,42743,676
3.807972000,0.045043000,79,52,10.0.0.2,41414,148.113.1.33,443,0,676,13679
3.825040000,0.017068000,80,1436,148.113.1.33,443,10.0.0.2,41414,1384,44127,676
3.870998000,0.045958000,81,52,10.0.0.2,41414,148.113.1.33,443,0,676,13679
3.888620000,0.017622000,82,1436,148.113.1.33,443,10.0.0.2,41414,1384,45511,676
3.933367000,0.044747000,83,52,10.0.0.2,41414,148.113.1.33,443,0,676,15063
3.947963000,0.014596000,84,1436,148.113.1.33,443,10.0.0.2,41414,1384,46895,676
3.996011000,0.048048000,85,52,10.0.0.2,41414,148.113.1.33,443,0,676,15063
4.013029000,0.017018000,86,1436,148.113.1.33,443,10.0.0.2,41414,1384,15063,676
4.013143000,0.000114000,87,1436,148.113.1.33,443,10.0.0.2,41414,1384,48279,676
4.057735000,0.044592000,88,52,10.0.0.2,41414,148.113.1.33,443,0,676,15063
4.074896000,0.017161000,89,1436,148.113.1.33,443,10.0.0.2,41414,1384,49663,676
4.120515000,0.045619000,90,52,10.0.0.2,41414,148.113.1.33,443,0,676,15063
4.138831000,0.018316000,91,1436,148.113.1.33,443,10.0.0.2,41414,1384,51047,676
4.183213000,0.044382000,92,52,10.0.0.2,41414,148.113.1.33,443,0,676,15063
4.200141000,0.016928000,93,1436,148.113.1.33,443,10.0.0.2,41414,1384,52431,676
4.245246000,0.045105000,94,52,10.0.0.2,41414,148.113.1.33,443,0,676,16447
4.262270000,0.017024000,95,1436,148.113.1.33,443,10.0.0.2,41414,1384,53815,676
4.307557000,0.045287000,96,52,10.0.0.2,41414,148.113.1.33,443,0,676,16447
4.323857000,0.016300000,97,1436,148.113.1.33,443,10.0.0.2,41414,1384,16447,676
4.323954000,0.000097000,98,1436,148.113.1.33,443,10.0.0.2,41414,1384,55199,676
4.369890000,0.045936000,99,52,10.0.0.2,41414,148.113.1.33,443,0,676,16447
4.369963000,0.000073000,100,52,10.0.0.2,41414,148.113.1.33,443,0,676,16447
4.387579000,0.017616000,101,1436,148.113.1.33,443,10.0.0.2,41414,1384,56583,676
4.432753000,0.045174000,102,52,10.0.0.2,41414,148.113.1.33,443,0,676,16447
4.450186000,0.017433000,103,1436,148.113.1.33,443,10.0.0.2,41414,1384,57967,676
4.450260000,0.000074000,104,1436,148.113.1.33,443,10.0.0.2,41414,1384,59351,676
4.495543000,0.045283000,105,52,10.0.0.2,41414,148.113.1.33,443,0,676,16447
4.513431000,0.017888000,106,1436,148.113.1.33,443,10.0.0.2,41414,1384,60735,676
4.557076000,0.043645000,107,52,10.0.0.2,41414,148.113.1.33,443,0,676,17831
4.573956000,0.016880000,108,1436,148.113.1.33,443,10.0.0.2,41414,1384,62119,676
4.620335000,0.046379000,109,52,10.0.0.2,41414,148.113.1.33,443,0,676,17831
4.637259000,0.016924000,110,1436,148.113.1.33,443,10.0.0.2,41414,1384,17831,676
4.682324000,0.045065000,111,52,10.0.0.2,41414,148.113.1.33,443,0,676,17831
4.710069000,0.027745000,112,1436,148.113.1.33,443,10.0.0.2,41414,1384,63503,676
4.745341000,0.035272000,113,52,10.0.0.2,41414,148.113.1.33,443,0,676,17831
4.807533000,0.062192000,114,52,10.0.0.2,41414,148.113.1.33,443,0,676,17831
4.808967000,0.001434000,115,1436,148.113.1.33,443,10.0.0.2,41414,1384,64887,676
4.870128000,0.061161000,116,52,10.0.0.2,41414,148.113.1.33,443,0,676,17831
4.899537000,0.029409000,117,1436,148.113.1.33,443,10.0.0.2,41414,1384,66271,676
4.899636000,0.000099000,118,1436,148.113.1.33,443,10.0.0.2,41414,1384,67655,676
4.931880000,0.032244000,119,52,10.0.0.2,41414,148.113.1.33,443,0,676,17831
4.950101000,0.018221000,120,1436,148.113.1.33,443,10.0.0.2,41414,1384,69039,676
4.995512000,0.045411000,121,52,10.0.0.2,41414,148.113.1.33,443,0,676,28903
4.995594000,0.000082000,122,52,10.0.0.2,55540,148.113.1.33,80,0,143,371
5.010572000,0.014978000,123,1436,148.113.1.33,443,10.0.0.2,41414,1384,70423,676
5.057074000,0.046502000,124,52,10.0.0.2,41414,148.113.1.33,443,0,676,28903
5.073467000,0.016393000,125,52,148.113.1.33,80,10.0.0.2,55540,0,371,144
5.073551000,0.000084000,126,1436,148.113.1.33,443,10.0.0.2,41414,1384,28903,676
5.119927000,0.046376000,127,52,10.0.0.2,41414,148.113.1.33,443,0,676,28903
5.182140000,0.062213000,128,52,10.0.0.2,41414,148.113.1.33,443,0,676,28903
5.200351000,0.018211000,129,1436,148.113.1.33,443,10.0.0.2,41414,1384,71807,676
5.200450000,0.000099000,130,1436,148.113.1.33,443,10.0.0.2,41414,1384,73191,676
5.244417000,0.043967000,131,52,10.0.0.2,41414,148.113.1.33,443,0,676,28903
5.244488000,0.000071000,132,52,10.0.0.2,41414,148.113.1.33,443,0,676,28903
5.263270000,0.018782000,133,1436,148.113.1.33,443,10.0.0.2,41414,1384,74575,676
5.306665000,0.043395000,134,52,10.0.0.2,41414,148.113.1.33,443,0,676,28903
5.306722000,0.000057000,135,52,10.0.0.2,55540,148.113.1.33,80,0,144,372
5.306726000,0.000004000,136,52,10.0.0.2,41414,148.113.1.33,443,0,676,71807
5.306730000,0.000004000,137,52,10.0.0.2,41414,148.113.1.33,443,0,676,71807
5.325427000,0.018697000,138,1436,148.113.1.33,443,10.0.0.2,41414,1384,75959,676
5.325512000,0.000085000,139,1436,148.113.1.33,443,10.0.0.2,41414,1384,77343,676
5.433029000,0.107517000,140,52,10.0.0.2,41414,148.113.1.33,443,0,676,73191
5.433079000,0.000050000,141,52,10.0.0.2,41414,148.113.1.33,443,0,676,74575
5.449777000,0.016698000,142,1436,148.113.1.33,443,10.0.0.2,41414,1384,78727,676
5.449861000,0.000084000,143,1436,148.113.1.33,443,10.0.0.2,41414,1384,80111,676
5.449869000,0.000008000,144,1436,148.113.1.33,443,10.0.0.2,41414,1384,81495,676
5.449876000,0.000007000,145,1436,148.113.1.33,443,10.0.0.2,41414,1384,82879,676
5.493662000,0.043786000,146,52,10.0.0.2,41414,148.113.1.33,443,0,676,75959
5.557751000,0.064089000,147,52,10.0.0.2,41414,148.113.1.33,443,0,676,77343
5.567366000,0.009615000,148,1436,148.113.1.33,443,10.0.0.2,41414,1384,84263,676
5.567454000,0.000088000,149,1436,148.113.1.33,443,10.0.0.2,41414,1384,85647,676
5.567460000,0.000006000,150,1436,148.113.1.33,443,10.0.0.2,41414,1384,87031,676
5.567464000,0.000004000,151,1436,148.113.1.33,443,10.0.0.2,41414,1384,88415,676
5.618879000,0.051415000,152,52,10.0.0.2,41414,148.113.1.33,443,0,676,78727
5.636992000,0.018113000,153,1436,148.113.1.33,443,10.0.0.2,41414,1384,89799,676
5.681812000,0.044820000,154,52,10.0.0.2,41414,148.113.1.33,443,0,676,80111
5.700943000,0.019131000,155,1436,148.113.1.33,443,10.0.0.2,41414,1384,91183,676
5.743836000,0.042893000,156,52,10.0.0.2,41414,148.113.1.33,443,0,676,81495
5.761558000,0.017722000,157,1436,148.113.1.33,443,10.0.0.2,41414,1384,92567,676
5.807024000,0.045466000,158,52,10.0.0.2,41414,148.113.1.33,443,0,676,82879
5.822806000,0.015782000,159,1436,148.113.1.33,443,10.0.0.2,41414,1384,93951,676
5.822898000,0.000092000,160,1436,148.113.1.33,443,10.0.0.2,41414,1384,95335,676
5.869847000,0.046949000,161,52,10.0.0.2,41414,148.113.1.33,443,0,676,84263
5.897311000,0.027464000,162,1436,148.113.1.33,443,10.0.0.2,41414,1384,96719,676
5.932099000,0.034788000,163,52,10.0.0.2,41414,148.113.1.33,443,0,676,85647
5.994265000,0.062166000,164,52,10.0.0.2,41414,148.113.1.33,443,0,676,87031
5.996849000,0.002584000,165,1436,148.113.1.33,443,10.0.0.2,41414,1384,98103,676
6.057310000,0.060461000,166,52,10.0.0.2,41414,148.113.1.33,443,0,676,87031
6.075392000,0.018082000,167,1436,148.113.1.33,443,10.0.0.2,41414,1384,99487,676
6.075457000,0.000065000,168,1436,148.113.1.33,443,10.0.0.2,41414,1384,100871,676
6.075463000,0.000006000,169,1436,148.113.1.33,443,10.0.0.2,41414,1384,102255,676
6.119295000,0.043832000,170,52,10.0.0.2,41414,148.113.1.33,443,0,676,87031
