frame.time_relative,frame.time_delta,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.050457000,0.038719000,0,0,0,
0.152335000,0.101878000,0,0,1,0.101878000
0.300176000,0.147841000,0,1,1,0.147841000
0.300235000,0.000059000,131,1,1,
0.401923000,0.101688000,0,1,132,0.101688000
0.413245000,0.011322000,197,1,132,
0.414669000,0.001424000,1448,198,132,
0.414717000,0.000048000,1448,1646,132,
0.414721000,0.000004000,1448,3094,132,
0.414724000,0.000003000,1448,4542,132,
0.414726000,0.000002000,1448,5990,132,
0.414728000,0.000002000,1448,7438,132,
0.414730000,0.000002000,1448,8886,132,
0.414732000,0.000002000,1448,10334,132,
0.414818000,0.000086000,1448,11782,132,
0.550232000,0.135414000,0,132,198,0.136987000
0.612683000,0.062451000,0,132,1646,0.198014000
0.651386000,0.038703000,1448,13230,132,
0.651450000,0.000064000,1448,14678,132,
0.674655000,0.022988000,0,132,3094,0.259938000
0.713414000,0.011241000,1448,16126,132,
0.713470000,0.000056000,1448,17574,132,
0.737922000,0.024448000,0,132,4542,0.323201000
0.774710000,0.036788000,1448,19022,132,
0.774759000,0.000049000,1448,20470,132,
0.800087000,0.025328000,0,132,4542,
0.838850000,0.038763000,1448,21918,132,
0.838906000,0.000056000,1448,23366,132,
0.863327000,0.024421000,0,132,4542,
0.900817000,0.037490000,1448,4542,132,
0.925287000,0.024470000,0,132,4542,
0.964005000,0.038718000,1448,5990,132,
0.987439000,0.015579000,0,132,4542,
1.026647000,0.039208000,1448,7438,132,
1.088782000,0.062135000,1448,8886,132,
1.113109000,0.024327000,0,132,4542,
1.175092000,0.061983000,0,132,4542,
1.213915000,0.038823000,1448,10334,132,
1.238165000,0.024250000,0,132,5990,0.823441000
1.275920000,0.037755000,1448,11782,132,
1.299753000,0.023833000,0,132,7438,0.885027000
1.338542000,0.038789000,1448,20470,132,
1.344075000,0.002262000,1448,23366,132,
1.362418000,0.018343000,0,132,8886,0.947690000
1.400831000,0.038413000,1448,24814,132,
1.400903000,0.000072000,1448,26262,132,
1.424615000,0.023712000,0,132,10334,1.009885000
1.464325000,0.039710000,1448,27710,132,
1.464384000,0.000059000,1448,29158,132,
1.487866000,0.023482000,0,132,11782,1.073134000
1.525868000,0.024299000,1448,30606,132,
1.525941000,0.000073000,1448,32054,132,
1.549790000,0.023849000,0,132,20470,0.775080000
1.588831000,0.039041000,1448,33502,132,
1.588905000,0.000074000,1448,34950,132,
1.612575000,0.023670000,0,132,23366,0.773725000
1.650697000,0.038122000,1448,36398,132,
1.650771000,0.000074000,1448,37846,132,
1.675251000,0.024480000,0,132,24814,0.836345000
1.713682000,0.038431000,1448,39294,132,
1.713747000,0.000065000,1448,40742,132,
1.738069000,0.024322000,0,132,26262,0.337238000
1.776205000,0.038136000,1448,42190,132,
1.776273000,0.000068000,1448,43638,132,
1.799669000,0.023396000,0,132,26262,
1.838801000,0.039132000,1448,45086,132,
1.838865000,0.000064000,1448,46534,132,
1.863417000,0.024552000,0,132,26262,
1.900702000,0.037285000,1448,26262,132,
1.925006000,0.024304000,0,132,26262,
1.964206000,0.039200000,1448,29158,132,
1.987525000,0.023319000,0,132,26262,
2.025698000,0.038173000,1448,32054,132,
2.050074000,0.024376000,0,132,26262,
2.088389000,0.038315000,1448,34950,132,
2.112749000,0.024360000,0,132,26262,
2.152210000,0.039461000,1448,37846,132,
2.175637000,0.023427000,0,132,26262,
2.217023000,0.041386000,1448,40742,132,
2.238248000,0.021225000,0,132,29158,0.773923000
2.279958000,0.041710000,1448,43638,132,
2.300142000,0.020184000,0,132,32054,0.774274000
2.342355000,0.042213000,1448,46534,132,
2.345666000,0.003311000,1448,47982,132,
2.363981000,0.018315000,0,132,34950,0.775150000
2.404545000,0.040564000,1448,49430,132,
2.404608000,0.000063000,1448,50878,132,
2.425608000,0.021000000,0,132,37846,0.774911000
2.468427000,0.042819000,1448,52326,132,
2.468489000,0.000062000,1448,53774,132,
2.488257000,0.019768000,0,132,40742,0.774575000
2.530274000,0.042017000,1448,55222,132,
2.530352000,0.000078000,1448,56670,132,
2.550385000,0.020033000,0,132,43638,0.774180000
2.592861000,0.042476000,1448,58118,132,
2.592939000,0.000078000,1448,59566,132,
2.613413000,0.020474000,0,132,46534,0.774612000
2.655025000,0.041612000,1448,61014,132,
2.655087000,0.000062000,1448,62462,132,
2.717918000,0.062831000,1448,63910,132,
2.717992000,0.000074000,1448,65358,132,
2.738528000,0.020536000,0,132,47982,0.899663000
2.738577000,0.000049000,0,132,47982,
2.800423000,0.061846000,0,132,47982,
2.842060000,0.041637000,1448,66806,132,
2.862611000,0.020551000,0,132,47982,
2.925416000,0.062805000,0,132,47982,
2.934666000,0.009250000,1448,47982,132,
2.988407000,0.053741000,0,132,47982,
3.050948000,0.062541000,0,132,47982,
3.113823000,0.062875000,0,132,47982,
3.119103000,0.005280000,1448,50878,132,
3.175212000,0.056109000,0,132,50878,0.770667000
3.181989000,0.006777000,1448,53774,132,
3.244120000,0.062131000,1448,56670,132,
3.300498000,0.056378000,0,132,53774,0.832071000
3.308931000,0.008433000,1448,59566,132,
3.362917000,0.053986000,0,132,56670,0.832643000
3.371009000,0.008092000,1448,62462,132,
3.425416000,0.054407000,0,132,59566,0.832555000
3.435276000,0.009860000,1448,65358,132,
3.488839000,0.053563000,0,132,62462,0.833814000
3.498335000,0.009496000,1448,68254,132,
3.550649000,0.052314000,0,132,65358,0.832731000
3.561408000,0.010759000,1448,69702,132,
3.613097000,0.051689000,0,132,68254,0.771037000
3.625133000,0.012036000,1448,71150,132,
3.675084000,0.049951000,0,132,69702,0.176749000
3.688237000,0.013153000,1448,72598,132,
3.751569000,0.063332000,1448,74046,132,
3.801190000,0.049621000,0,132,71150,0.239782000
3.814963000,0.013773000,1448,75494,132,
3.863094000,0.048131000,0,132,74046,0.174857000
3.878003000,0.014909000,1448,76942,132,
3.940288000,0.062285000,1448,78390,132,
3.988388000,0.039597000,0,132,76942,0.173425000
4.003187000,0.014799000,1448,79838,132,
4.053082000,0.049895000,1448,81286,132,
4.104146000,0.051064000,1448,82734,132,
4.113169000,0.009023000,0,132,79838,0.172881000
4.155376000,0.042207000,1448,84182,132,
4.205943000,0.050567000,1448,85630,132,
4.238356000,0.032413000,0,132,82734,0.185274000
4.255653000,0.017297000,1448,87078,132,
4.306021000,0.050368000,1448,88526,132,
4.358026000,0.052005000,1448,89974,132,
4.363160000,0.005134000,0,132,85630,0.207784000
4.408392000,0.045232000,1448,91422,132,
4.458825000,0.050433000,1448,92870,132,
4.488214000,0.029389000,0,132,88526,0.232561000
4.508495000,0.020281000,1448,94318,132,
4.558640000,0.050145000,1448,95766,132,
4.610307000,0.051667000,1448,97214,132,
4.613033000,0.002726000,0,132,91422,0.255007000
4.660699000,0.047666000,1448,98662,132,
4.710911000,0.050212000,1448,100110,132,
4.738416000,0.027505000,0,132,94318,0.279591000
4.763008000,0.024592000,1448,101558,132,
4.845242000,0.082234000,1448,103006,132,
4.863895000,0.018653000,0,132,97214,0.305255000
4.910208000,0.046313000,1448,104454,132,
4.925365000,0.015157000,0,132,97214,
4.971512000,0.046147000,1448,105902,132,
4.988858000,0.017346000,0,132,97214,
5.034835000,0.009430000,1448,107350,132,
5.050128000,0.015293000,0,132,97214,
5.099662000,0.049534000,1448,97214,132,
5.113702000,0.014040000,0,132,97214,
5.162551000,0.048849000,1448,108798,132,
5.175628000,0.013077000,0,132,97214,
5.225380000,0.049752000,1448,110246,132,
5.238479000,0.013099000,0,132,97214,
5.288897000,0.050418000,1448,111694,132,
5.349578000,0.060681000,1448,113142,132,
5.363329000,0.013751000,0,132,97214,
5.425892000,0.062563000,0,132,108798,0.391057000
5.468164000,0.042272000,1448,114590,132,
5.528930000,0.060766000,1448,116038,132,
5.550957000,0.022027000,0,132,110246,0.388406000
5.563419000,0.012462000,1448,117486,132,
5.613479000,0.050060000,0,132,113142,0.324582000
5.626462000,0.012983000,1448,118934,132,
5.689698000,0.063236000,1448,120382,132,
5.738929000,0.049231000,0,132,116038,0.270765000
5.753102000,0.014173000,1448,121830,132,
5.815656000,0.062554000,1448,123278,132,
5.863187000,0.047531000,0,132,118934,0.299768000
5.878970000,0.015783000,1448,124726,132,
5.941824000,0.062854000,1448,126174,132,
5.988383000,0.046559000,0,132,121830,0.298685000
6.005185000,0.016802000,1448,127622,132,
6.067888000,0.062703000,1448,129070,132,
6.113979000,0.046091000,0,132,124726,0.298323000
6.131122000,0.017143000,1448,130518,132,
6.193999000,0.062877000,1448,131966,132,
6.238937000,0.044938000,0,132,127622,0.297113000
6.257290000,0.018353000,1448,133414,132,
6.319999000,0.062709000,1448,134862,132,
6.363812000,0.043813000,0,132,130518,0.295924000
6.383309000,0.019497000,1448,136310,132,
6.445748000,0.062439000,1448,137758,132,
6.488856000,0.043108000,0,132,133414,0.294857000
6.508213000,0.019357000,1448,139206,132,
6.557233000,0.049020000,1448,140654,132,
6.608743000,0.051510000,1448,142102,132,
6.613883000,0.005140000,0,132,136310,0.293884000
6.658983000,0.045100000,1448,143550,132,
6.709113000,0.050130000,1448,144998,132,
6.738539000,0.029426000,0,132,139206,0.292791000
6.760663000,0.022124000,1448,146446,132,
6.842887000,0.082224000,1448,147894,132,
6.863074000,0.020187000,0,132,142102,0.305841000
6.906251000,0.043177000,1448,149342,132,
6.967939000,0.061688000,1448,150790,132,
6.987730000,0.019791000,0,132,144998,0.328747000
7.030891000,0.043161000,1448,152238,132,
7.093675000,0.062784000,1448,153686,132,
7.112651000,0.018976000,0,132,147894,0.351988000
7.157001000,0.044350000,1448,155134,132,
7.220089000,0.063088000,1448,156582,132,
7.237443000,0.017354000,0,132,150790,0.331192000
7.283093000,0.045650000,1448,158030,132,
7.345968000,0.062875000,1448,159478,132,
7.362809000,0.016841000,0,132,153686,0.331918000
7.408895000,0.046086000,1448,160926,132,
7.471850000,0.062955000,1448,162374,132,
7.488294000,0.016444000,0,132,156582,0.331293000
7.535151000,0.046857000,1448,163822,132,
7.597834000,0.062683000,1448,165270,132,
7.612647000,0.014813000,0,132,159478,0.329554000
7.661167000,0.048520000,1448,166718,132,
7.724067000,0.062900000,1448,168166,132,
7.738046000,0.013979000,0,132,162374,0.329151000
7.787049000,0.049003000,1448,169614,132,
7.849922000,0.062873000,1448,171062,132,
7.863361000,0.013439000,0,132,165270,0.328210000
7.913101000,0.049740000,1448,172510,132,
7.976060000,0.062959000,1448,173958,132,
7.987667000,0.011607000,0,132,168166,0.326500000
8.038981000,0.051314000,1448,175406,132,
8.101872000,0.062891000,1448,176854,132,
8.112737000,0.010865000,0,132,171062,0.325688000
8.165081000,0.052344000,1448,178302,132,
8.228056000,0.062975000,1448,179750,132,
8.237790000,0.009734000,0,132,173958,0.324689000
8.290935000,0.053145000,1448,181198,132,
8.353978000,0.063043000,1448,182646,132,
8.363197000,0.009219000,0,132,176854,0.324216000
8.404290000,0.041093000,1448,184094,132,
8.454869000,0.050579000,1448,185542,132,
8.488101000,0.033232000,0,132,179750,0.323020000
8.505113000,0.017012000,1448,186990,132,
8.555434000,0.050321000,1448,188438,132,
8.605942000,0.050508000,1448,189886,132,
8.612643000,0.006701000,0,132,182646,0.321708000
8.689988000,0.077345000,1448,191334,132,
8.737867000,0.047879000,0,132,185542,0.333577000
8.774117000,0.036250000,1448,192782,132,
8.799532000,0.025415000,0,132,186990,0.344663000
8.857875000,0.058343000,1448,194230,132,
8.921130000,0.063255000,1448,195678,132,
8.925177000,0.004047000,0,132,189886,0.369743000
8.984216000,0.059039000,1448,197126,132,
8.987724000,0.003508000,0,132,189886,
9.047049000,0.059325000,1448,198574,132,
9.049653000,0.002604000,0,132,189886,
9.110082000,0.060429000,1448,189886,132,
9.113060000,0.002978000,0,132,189886,
9.172991000,0.059931000,1448,200022,132,
9.175061000,0.002070000,0,132,189886,
9.235994000,0.060933000,1448,201470,132,
9.237379000,0.001385000,0,132,189886,
9.298873000,0.061494000,1448,202918,132,
9.300226000,0.001353000,0,132,189886,
9.362276000,0.062050000,1448,204366,132,
9.362816000,0.000540000,0,132,200022,0.315767000
9.425008000,0.062192000,1448,205814,132,
9.487844000,0.062836000,1448,207262,132,
9.488129000,0.000285000,0,132,202918,0.252135000
9.551026000,0.062897000,1448,208710,132,
9.612887000,0.061861000,0,132,205814,0.250611000
9.614089000,0.001202000,1448,210158,132,
9.677111000,0.063022000,1448,211606,132,
