frame.time_relative,frame.time_delta,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.183922000,0.183922000,0,0,0,
0.388173000,0.050650000,0,0,1,0.204251000
0.685422000,0.297249000,0,1,1,0.297249000
0.685478000,0.000056000,131,1,1,
0.890924000,0.205446000,0,1,132,0.205446000
0.895257000,0.004333000,197,1,132,
0.897500000,0.002243000,1448,198,132,
0.897540000,0.000040000,1448,1646,132,
0.897547000,0.000007000,1448,3094,132,
0.897553000,0.000006000,1448,4542,132,
0.897557000,0.000004000,1448,5990,132,
0.897561000,0.000004000,1448,7438,132,
0.897565000,0.000004000,1448,8886,132,
0.897569000,0.000004000,1448,10334,132,
0.897574000,0.000005000,1448,11782,132,
1.184108000,0.001536000,0,132,198,0.288851000
1.248400000,0.064292000,0,132,1646,0.350900000
1.310444000,0.062044000,0,132,3094,0.412904000
1.373577000,0.063133000,0,132,4542,0.476030000
1.387739000,0.014162000,1448,13230,132,
1.387821000,0.000082000,1448,14678,132,
1.434704000,0.046883000,0,132,5990,0.537151000
1.451513000,0.016809000,1448,16126,132,
1.451549000,0.000036000,1448,17574,132,
1.498412000,0.046863000,0,132,7438,0.600855000
1.514203000,0.015791000,1448,19022,132,
1.514373000,0.000170000,1448,20470,132,
1.560202000,0.045829000,0,132,8886,0.662641000
1.576721000,0.016519000,1448,21918,132,
1.576833000,0.000112000,1448,23366,132,
1.638391000,0.061558000,1448,24814,132,
1.638479000,0.000088000,1448,26262,132,
1.685199000,0.046720000,0,132,8886,
1.700683000,0.015484000,1448,27710,132,
1.700813000,0.000130000,1448,29158,132,
1.748167000,0.047354000,0,132,8886,
1.764123000,0.015956000,1448,30606,132,
1.764228000,0.000105000,1448,32054,132,
1.810807000,0.046579000,0,132,8886,
1.873276000,0.062469000,0,132,8886,
1.887777000,0.014501000,1448,8886,132,
1.934898000,0.047121000,0,132,8886,
1.953064000,0.018166000,1448,10334,132,
1.997952000,0.044888000,0,132,8886,
2.060581000,0.062629000,0,132,8886,
2.075338000,0.014757000,1448,11782,132,
2.123569000,0.048231000,0,132,8886,
2.139605000,0.016036000,1448,33502,132,
2.185537000,0.045932000,0,132,8886,
2.248720000,0.063183000,0,132,8886,
2.310224000,0.061504000,0,132,8886,
2.328364000,0.018140000,1448,34950,132,
2.372858000,0.044494000,0,132,8886,
2.387732000,0.014874000,1448,36398,132,
2.435563000,0.047831000,0,132,10334,1.537998000
2.452770000,0.017207000,1448,37846,132,
2.497991000,0.045221000,0,132,11782,1.600422000
2.514680000,0.016689000,1448,39294,132,
2.559199000,0.044519000,0,132,29158,0.858516000
2.576785000,0.017586000,1448,29158,132,
2.576945000,0.000160000,1448,40742,132,
2.622973000,0.046028000,0,132,29158,
2.637848000,0.014875000,1448,32054,132,
2.637993000,0.000145000,1448,42190,132,
2.685623000,0.047630000,0,132,29158,
2.702346000,0.016723000,1448,43638,132,
2.748157000,0.045811000,0,132,29158,
2.761282000,0.013125000,1448,45086,132,
2.810345000,0.049063000,0,132,29158,
2.826488000,0.016143000,1448,46534,132,
2.873665000,0.047177000,0,132,29158,
2.888673000,0.015008000,1448,47982,132,
2.935111000,0.046438000,0,132,32054,1.170988000
2.952175000,0.017064000,1448,49430,132,
2.998394000,0.046219000,0,132,32054,
3.012523000,0.014129000,1448,50878,132,
3.060660000,0.048137000,0,132,42190,0.483715000
3.077660000,0.017000000,1448,52326,132,
3.123512000,0.045852000,0,132,43638,0.485519000
3.138992000,0.015480000,1448,53774,132,
3.185277000,0.046285000,0,132,45086,0.482931000
3.202032000,0.016755000,1448,55222,132,
3.248610000,0.046578000,0,132,46534,0.487328000
3.263293000,0.014683000,1448,56670,132,
3.310333000,0.047040000,0,132,47982,0.483845000
3.327435000,0.017102000,1448,58118,132,
3.327542000,0.000107000,1448,59566,132,
3.373703000,0.046161000,0,132,49430,0.485030000
3.389158000,0.015455000,1448,61014,132,
3.435558000,0.046400000,0,132,50878,0.483383000
3.451601000,0.016043000,1448,62462,132,
3.498322000,0.046721000,0,132,52326,0.485799000
3.513016000,0.014694000,1448,63910,132,
