frame.time_relative,frame.time_delta,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.007363000,0.007345000,0,0,0,
0.108616000,0.096626000,0,0,1,0.101253000
0.256717000,0.116725000,0,1,1,0.148101000
0.256747000,0.000030000,131,1,1,
0.282601000,0.025854000,1448,1,1,
0.282831000,0.000230000,0,1,0,
0.357571000,0.074740000,0,1,132,0.100824000
0.369774000,0.012203000,197,1,132,
0.372056000,0.002282000,1448,198,132,
0.372084000,0.000028000,1448,1646,132,
0.372086000,0.000002000,1448,3094,132,
0.372088000,0.000002000,1448,4542,132,
0.372090000,0.000002000,1448,5990,132,
0.372091000,0.000001000,1448,7438,132,
0.372093000,0.000002000,1448,8886,132,
0.372094000,0.000001000,1448,10334,132,
0.372096000,0.000002000,1448,11782,132,
0.506447000,0.052204000,0,132,198,0.136673000
0.568805000,0.018703000,0,132,1646,0.196749000
0.607197000,0.038392000,1448,13230,132,
0.607235000,0.000038000,1448,14678,132,
0.631964000,0.024729000,0,132,3094,0.259880000
0.669468000,0.037504000,1448,16126,132,
0.669555000,0.000087000,1448,17574,132,
0.693982000,0.024427000,0,132,4542,0.321896000
0.732685000,0.038703000,1448,19022,132,
0.732748000,0.000063000,1448,20470,132,
0.794850000,0.062102000,1448,21918,132,
0.794920000,0.000070000,1448,23366,132,
0.819328000,0.024408000,0,132,4542,
0.882297000,0.010445000,0,132,4542,
0.919953000,0.037656000,1448,4542,132,
0.944233000,0.024280000,0,132,4542,
1.006951000,0.062718000,0,132,4542,
1.044897000,0.037946000,1448,5990,132,
1.069182000,0.024285000,0,132,4542,
1.107466000,0.038284000,1448,7438,132,
1.131467000,0.024001000,0,132,4542,
1.170024000,0.038557000,1448,8886,132,
1.193490000,0.023466000,0,132,5990,0.821402000
1.232407000,0.038917000,1448,10334,132,
1.232555000,0.000148000,1448,11782,132,
1.256988000,0.015165000,0,132,7438,0.884898000
1.294230000,0.037242000,1448,20470,132,
1.318623000,0.024393000,0,132,8886,0.946532000
1.358235000,0.039612000,1448,23366,132,
1.358314000,0.000079000,1448,24814,132,
1.381636000,0.023322000,0,132,10334,1.009543000
1.419322000,0.037686000,1448,26262,132,
1.443783000,0.024461000,0,132,11782,1.071689000
1.482472000,0.038689000,1448,27710,132,
1.507017000,0.024545000,0,132,20470,0.774332000
1.544689000,0.037672000,1448,29158,132,
1.569079000,0.024390000,0,132,23366,0.774229000
1.610323000,0.041244000,1448,30606,132,
1.632484000,0.022161000,0,132,24814,0.837564000
1.676732000,0.044248000,1448,32054,132,
1.694986000,0.018254000,0,132,26262,0.336672000
1.740542000,0.045556000,1448,33502,132,
1.758361000,0.017819000,0,132,27710,0.339039000
1.802874000,0.044513000,1448,34950,132,
1.819206000,0.016332000,0,132,29158,0.336734000
1.866450000,0.047244000,1448,36398,132,
1.883014000,0.016564000,0,132,30606,0.338325000
1.927098000,0.044084000,1448,37846,132,
1.991043000,0.063945000,1448,39294,132,
2.009979000,0.018936000,0,132,32054,0.399656000
2.070338000,0.060359000,0,132,34950,0.329796000
2.118127000,0.047789000,1448,40742,132,
2.176964000,0.058837000,1448,42190,132,
2.177056000,0.000092000,1448,43638,132,
2.194593000,0.017537000,0,132,37846,0.328143000
2.302664000,0.108071000,1448,45086,132,
2.302723000,0.000059000,1448,46534,132,
2.319806000,0.017083000,0,132,40742,0.328763000
2.427991000,0.108185000,1448,47982,132,
2.428082000,0.000091000,1448,49430,132,
2.444723000,0.016641000,0,132,43638,0.267759000
2.507513000,0.062790000,0,132,45086,0.330457000
2.552705000,0.045192000,1448,50878,132,
2.552785000,0.000080000,1448,52326,132,
2.615722000,0.062937000,1448,53774,132,
2.615829000,0.000107000,1448,55222,132,
2.632413000,0.016584000,0,132,47982,0.329690000
2.740650000,0.108237000,1448,56670,132,
2.740738000,0.000088000,1448,58118,132,
2.758163000,0.017425000,0,132,50878,0.330081000
2.866019000,0.107856000,1448,59566,132,
2.866099000,0.000080000,1448,61014,132,
2.882811000,0.016712000,0,132,53774,0.330026000
2.990131000,0.107320000,1448,62462,132,
2.990154000,0.000023000,1448,63910,132,
3.007859000,0.017705000,0,132,55222,0.392137000
3.069895000,0.062036000,0,132,55222,
3.111980000,0.042085000,1448,65358,132,
3.112024000,0.000044000,1448,66806,132,
3.132835000,0.020811000,0,132,55222,
3.177148000,0.044313000,1448,55222,132,
3.194768000,0.017620000,0,132,55222,
3.240724000,0.045956000,1448,68254,132,
3.258527000,0.017803000,0,132,55222,
3.319674000,0.061147000,0,132,55222,
3.366240000,0.046566000,1448,69702,132,
3.382780000,0.016540000,0,132,55222,
3.444629000,0.061849000,0,132,55222,
3.507814000,0.063185000,0,132,68254,0.395790000
3.552774000,0.044960000,1448,71150,132,
3.615983000,0.063209000,1448,72598,132,
3.634800000,0.018817000,0,132,69702,0.394076000
3.694867000,0.060067000,0,132,72598,0.142093000
3.742764000,0.047897000,1448,74046,132,
3.803092000,0.060328000,1448,75494,132,
3.803164000,0.000072000,1448,76942,132,
3.803170000,0.000006000,1448,78390,132,
3.884839000,0.064045000,0,132,74046,0.268856000
3.944566000,0.059727000,0,132,76942,0.141474000
3.990176000,0.045610000,1448,79838,132,
4.051081000,0.060905000,1448,81286,132,
4.051160000,0.000079000,1448,82734,132,
4.070170000,0.019010000,0,132,79838,0.267000000
4.178490000,0.108320000,1448,84182,132,
4.178557000,0.000067000,1448,85630,132,
4.178562000,0.000005000,1448,87078,132,
4.195277000,0.016715000,0,132,82734,0.144196000
4.258280000,0.063003000,0,132,84182,0.207120000
4.304524000,0.046244000,1448,88526,132,
4.304604000,0.000080000,1448,89974,132,
4.364567000,0.059963000,1448,91422,132,
4.383251000,0.018684000,0,132,87078,0.204694000
4.489993000,0.106742000,1448,92870,132,
4.490073000,0.000080000,1448,94318,132,
4.506748000,0.016675000,0,132,89974,0.202224000
4.568837000,0.062089000,0,132,91422,0.264233000
4.607790000,0.038953000,1448,95766,132,
4.607859000,0.000069000,1448,97214,132,
