frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.141084000,0.129843000,10.0.0.2,0,0,0,
0.246418000,0.105334000,10.0.0.1,0,0,1,0.105334000
0.390436000,0.144018000,10.0.0.2,0,1,1,0.144018000
0.390513000,0.000077000,10.0.0.2,131,1,1,
0.491804000,0.010309000,10.0.0.1,0,1,132,0.101291000
0.503124000,0.011320000,10.0.0.1,197,1,132,
0.503270000,0.000146000,10.0.0.1,1448,198,132,
0.503278000,0.000008000,10.0.0.1,1448,1646,132,
0.503282000,0.000004000,10.0.0.1,1448,3094,132,
0.503287000,0.000005000,10.0.0.1,1448,4542,132,
0.503290000,0.000003000,10.0.0.1,1448,5990,132,
0.503386000,0.000096000,10.0.0.1,1448,7438,132,
0.503397000,0.000011000,10.0.0.1,1448,8886,132,
0.503401000,0.000004000,10.0.0.1,1448,10334,132,
0.503405000,0.000004000,10.0.0.1,1448,11782,132,
0.640106000,0.136701000,10.0.0.2,0,132,198,0.136982000
0.702682000,0.062576000,10.0.0.2,0,132,1646,0.199412000
0.741453000,0.038771000,10.0.0.1,1448,13230,132,
0.741604000,0.000151000,10.0.0.1,1448,14678,132,
0.765027000,0.023423000,10.0.0.2,0,132,3094,0.261749000
0.803756000,0.000489000,10.0.0.1,1448,16126,132,
0.803823000,0.000067000,10.0.0.1,1448,17574,132,
0.828072000,0.024249000,10.0.0.2,0,132,4542,0.324790000
0.866048000,0.037976000,10.0.0.1,1448,19022,132,
0.866125000,0.000077000,10.0.0.1,1448,20470,132,
0.890251000,0.024126000,10.0.0.2,0,132,4542,
0.928990000,0.038739000,10.0.0.1,1448,21918,132,
0.929074000,0.000084000,10.0.0.1,1448,23366,132,
0.952458000,0.023384000,10.0.0.2,0,132,4542,
0.991131000,0.038673000,10.0.0.1,1448,4542,132,
1.014818000,0.023687000,10.0.0.2,0,132,4542,
1.054008000,0.026515000,10.0.0.1,1448,5990,132,
1.077682000,0.023674000,10.0.0.2,0,132,4542,
1.116555000,0.038873000,10.0.0.1,1448,7438,132,
1.179272000,0.062717000,10.0.0.1,1448,8886,132,
1.202927000,0.023655000,10.0.0.2,0,132,4542,
1.264559000,0.061632000,10.0.0.2,0,132,4542,
1.303959000,0.033640000,10.0.0.1,1448,10334,132,
1.328061000,0.024102000,10.0.0.2,0,132,5990,0.824774000
1.366320000,0.038259000,10.0.0.1,1448,11782,132,
1.390042000,0.023722000,10.0.0.2,0,132,7438,0.886752000
1.430079000,0.040037000,10.0.0.1,1448,20470,132,
1.433540000,0.003461000,10.0.0.1,1448,23366,132,
1.453143000,0.019603000,10.0.0.2,0,132,8886,0.949757000
1.491024000,0.028775000,10.0.0.1,1448,24814,132,
1.491118000,0.000094000,10.0.0.1,1448,26262,132,
1.514791000,0.023673000,10.0.0.2,0,132,10334,1.011394000
1.553975000,0.039184000,10.0.0.1,1448,27710,132,
1.554055000,0.000080000,10.0.0.1,1448,29158,132,
1.577440000,0.023385000,10.0.0.2,0,132,11782,1.074039000
1.615769000,0.038329000,10.0.0.1,1448,30606,132,
1.615912000,0.000143000,10.0.0.1,1448,32054,132,
1.639478000,0.023566000,10.0.0.2,0,132,20470,0.773430000
1.678773000,0.039295000,10.0.0.1,1448,33502,132,
1.678912000,0.000139000,10.0.0.1,1448,34950,132,
1.703395000,0.024483000,10.0.0.2,0,132,23366,0.774405000
1.740537000,0.037142000,10.0.0.1,1448,36398,132,
1.740641000,0.000104000,10.0.0.1,1448,37846,132,
1.765494000,0.024853000,10.0.0.2,0,132,24814,0.836420000
1.804533000,0.039039000,10.0.0.1,1448,39294,132,
1.804636000,0.000103000,10.0.0.1,1448,40742,132,
1.828141000,0.023505000,10.0.0.2,0,132,26262,0.337117000
1.866715000,0.038574000,10.0.0.1,1448,42190,132,
1.866780000,0.000065000,10.0.0.1,1448,43638,132,
1.890287000,0.023507000,10.0.0.2,0,132,26262,
1.929025000,0.038738000,10.0.0.1,1448,45086,132,
1.929103000,0.000078000,10.0.0.1,1448,46534,132,
1.952772000,0.023669000,10.0.0.2,0,132,26262,
1.991355000,0.038583000,10.0.0.1,1448,26262,132,
2.015078000,0.023723000,10.0.0.2,0,132,26262,
2.054540000,0.039462000,10.0.0.1,1448,29158,132,
2.078192000,0.023652000,10.0.0.2,0,132,26262,
2.116230000,0.038038000,10.0.0.1,1448,32054,132,
2.140126000,0.023896000,10.0.0.2,0,132,26262,
2.179297000,0.039171000,10.0.0.1,1448,34950,132,
2.203499000,0.024202000,10.0.0.2,0,132,26262,
2.241528000,0.038029000,10.0.0.1,1448,37846,132,
2.265195000,0.023667000,10.0.0.2,0,132,26262,
2.305276000,0.040081000,10.0.0.1,1448,40742,132,
2.327968000,0.022692000,10.0.0.2,0,132,29158,0.773993000
2.366618000,0.038650000,10.0.0.1,1448,43638,132,
2.389560000,0.022942000,10.0.0.2,0,132,32054,0.773791000
2.428827000,0.039267000,10.0.0.1,1448,46534,132,
2.434241000,0.005414000,10.0.0.1,1448,47982,132,
2.452671000,0.018430000,10.0.0.2,0,132,34950,0.773898000
2.491308000,0.038637000,10.0.0.1,1448,49430,132,
2.491429000,0.000121000,10.0.0.1,1448,50878,132,
2.515131000,0.023702000,10.0.0.2,0,132,37846,0.774594000
