frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.000000000,0.000000000,10.0.0.2,0,0,0,
0.106099000,0.106099000,10.0.0.1,0,0,1,0.106099000
0.249142000,0.143043000,10.0.0.2,0,1,1,0.143043000
0.249202000,0.000060000,10.0.0.2,131,1,1,
0.349715000,0.100513000,10.0.0.1,0,1,132,0.100513000
0.360104000,0.010389000,10.0.0.1,197,1,132,
0.361464000,0.001360000,10.0.0.1,1448,198,132,
0.361580000,0.000116000,10.0.0.1,1448,1646,132,
0.362818000,0.001238000,10.0.0.1,1448,3094,132,
0.363003000,0.000185000,10.0.0.1,1448,4542,132,
0.363081000,0.000078000,10.0.0.1,1448,5990,132,
0.363090000,0.000009000,10.0.0.1,1448,7438,132,
0.363123000,0.000033000,10.0.0.1,1448,8886,132,
0.363168000,0.000045000,10.0.0.1,1448,10334,132,
0.363174000,0.000006000,10.0.0.1,1448,11782,132,
0.498579000,0.135405000,10.0.0.2,0,132,198,0.138475000
0.561857000,0.022093000,10.0.0.2,0,132,1646,0.200393000
0.599249000,0.037392000,10.0.0.1,1448,13230,132,
0.599308000,0.000059000,10.0.0.1,1448,14678,132,
0.624008000,0.024700000,10.0.0.2,0,132,3094,0.262428000
0.662267000,0.038259000,10.0.0.1,1448,16126,132,
0.662375000,0.000108000,10.0.0.1,1448,17574,132,
0.686623000,0.000994000,10.0.0.2,0,132,4542,0.323805000
0.724900000,0.038277000,10.0.0.1,1448,19022,132,
0.724997000,0.000097000,10.0.0.1,1448,20470,132,
0.748469000,0.023472000,10.0.0.2,0,132,4542,
0.787487000,0.039018000,10.0.0.1,1448,21918,132,
0.787557000,0.000070000,10.0.0.1,1448,23366,132,
0.811996000,0.024439000,10.0.0.2,0,132,4542,
0.849408000,0.037412000,10.0.0.1,1448,4542,132,
0.873535000,0.024127000,10.0.0.2,0,132,4542,
0.913028000,0.033130000,10.0.0.1,1448,5990,132,
0.936566000,0.023538000,10.0.0.2,0,132,4542,
0.974921000,0.038355000,10.0.0.1,1448,7438,132,
1.037735000,0.062814000,10.0.0.1,1448,8886,132,
1.062316000,0.024581000,10.0.0.2,0,132,4542,
1.124341000,0.062025000,10.0.0.2,0,132,4542,
1.163082000,0.038741000,10.0.0.1,1448,10334,132,
1.186515000,0.023433000,10.0.0.2,0,132,5990,0.823512000
1.224878000,0.038363000,10.0.0.1,1448,11782,132,
1.248824000,0.023946000,10.0.0.2,0,132,7438,0.885743000
1.287328000,0.038504000,10.0.0.1,1448,20470,132,
1.311992000,0.024664000,10.0.0.2,0,132,8886,0.948902000
1.349551000,0.037559000,10.0.0.1,1448,23366,132,
1.349627000,0.000076000,10.0.0.1,1448,24814,132,
1.374086000,0.024459000,10.0.0.2,0,132,10334,1.010963000
1.413170000,0.034239000,10.0.0.1,1448,26262,132,
1.413262000,0.000092000,10.0.0.1,1448,27710,132,
1.437422000,0.024160000,10.0.0.2,0,132,11782,1.074254000
1.475206000,0.037784000,10.0.0.1,1448,29158,132,
1.475280000,0.000074000,10.0.0.1,1448,30606,132,
1.498696000,0.023416000,10.0.0.2,0,132,20470,0.773796000
1.538051000,0.039355000,10.0.0.1,1448,32054,132,
1.561972000,0.023921000,10.0.0.2,0,132,23366,0.774485000
1.599883000,0.037911000,10.0.0.1,1448,33502,132,
1.624371000,0.024488000,10.0.0.2,0,132,24814,0.836814000
1.663148000,0.038777000,10.0.0.1,1448,34950,132,
1.686975000,0.021642000,10.0.0.2,0,132,26262,0.337348000
1.725065000,0.038090000,10.0.0.1,1448,36398,132,
1.749385000,0.024320000,10.0.0.2,0,132,27710,0.336215000
1.787422000,0.038037000,10.0.0.1,1448,37846,132,
1.811573000,0.024151000,10.0.0.2,0,132,27710,
1.850060000,0.038487000,10.0.0.1,1448,39294,132,
1.850158000,0.000098000,10.0.0.1,1448,40742,132,
1.873396000,0.023238000,10.0.0.2,0,132,27710,
1.912373000,0.038977000,10.0.0.1,1448,27710,132,
1.936718000,0.024345000,10.0.0.2,0,132,27710,
1.998636000,0.061918000,10.0.0.2,0,132,27710,
2.037359000,0.038723000,10.0.0.1,1448,30606,132,
2.061774000,0.024415000,10.0.0.2,0,132,27710,
2.099335000,0.037561000,10.0.0.1,1448,42190,132,
2.123905000,0.024570000,10.0.0.2,0,132,27710,
2.162501000,0.038596000,10.0.0.1,1448,43638,132,
2.187017000,0.024516000,10.0.0.2,0,132,27710,
2.224580000,0.037563000,10.0.0.1,1448,45086,132,
2.248995000,0.024415000,10.0.0.2,0,132,30606,0.773789000
2.287775000,0.038780000,10.0.0.1,1448,46534,132,
2.312157000,0.024382000,10.0.0.2,0,132,40742,0.462097000
2.349673000,0.037516000,10.0.0.1,1448,40742,132,
2.349761000,0.000088000,10.0.0.1,1448,47982,132,
2.374024000,0.024263000,10.0.0.2,0,132,40742,
2.412684000,0.038660000,10.0.0.1,1448,49430,132,
2.436932000,0.024248000,10.0.0.2,0,132,40742,
2.474836000,0.037904000,10.0.0.1,1448,50878,132,
2.498550000,0.023714000,10.0.0.2,0,132,40742,
2.538013000,0.039463000,10.0.0.1,1448,52326,132,
2.562264000,0.024251000,10.0.0.2,0,132,40742,
2.599831000,0.037567000,10.0.0.1,1448,53774,132,
2.624360000,0.024529000,10.0.0.2,0,132,47982,0.336585000
2.663228000,0.038868000,10.0.0.1,1448,55222,132,
2.725509000,0.062281000,10.0.0.1,1448,56670,132,
2.749191000,0.023682000,10.0.0.2,0,132,49430,0.399430000
2.749231000,0.000040000,10.0.0.2,0,132,50878,0.336547000
2.811691000,0.062460000,10.0.0.2,0,132,52326,0.336855000
2.850240000,0.038549000,10.0.0.1,1448,58118,132,
2.873678000,0.023438000,10.0.0.2,0,132,53774,0.335665000
2.912780000,0.039102000,10.0.0.1,1448,59566,132,
2.912881000,0.000101000,10.0.0.1,1448,61014,132,
2.936719000,0.023838000,10.0.0.2,0,132,55222,0.336888000
2.974494000,0.037775000,10.0.0.1,1448,62462,132,
2.999031000,0.024537000,10.0.0.2,0,132,56670,0.335803000
3.037915000,0.038884000,10.0.0.1,1448,63910,132,
3.062288000,0.024373000,10.0.0.2,0,132,58118,0.336779000
3.100250000,0.037962000,10.0.0.1,1448,65358,132,
3.100339000,0.000089000,10.0.0.1,1448,66806,132,
3.163277000,0.062938000,10.0.0.1,1448,68254,132,
3.187780000,0.024503000,10.0.0.2,0,132,59566,0.337540000
3.248626000,0.060846000,10.0.0.2,0,132,62462,0.335745000
3.288949000,0.040323000,10.0.0.1,1448,69702,132,
3.349628000,0.060679000,10.0.0.1,1448,71150,132,
3.349886000,0.000258000,10.0.0.1,1448,72598,132,
3.374150000,0.024264000,10.0.0.2,0,132,65358,0.336235000
