frame.time_relative,frame.time_delta,ip.src,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.072554000,0.033004000,10.0.0.2,0,0,0,
0.275615000,0.044514000,10.0.0.1,0,0,1,0.203061000
0.570812000,0.295197000,10.0.0.2,0,1,1,0.295197000
0.570907000,0.000095000,10.0.0.2,131,1,1,
0.775201000,0.052459000,10.0.0.1,0,1,132,0.204294000
0.798790000,0.023589000,10.0.0.1,197,1,132,
0.800285000,0.001495000,10.0.0.1,1448,198,132,
0.800428000,0.000143000,10.0.0.1,1448,1646,132,
0.800437000,0.000009000,10.0.0.1,1448,3094,132,
0.800445000,0.000008000,10.0.0.1,1448,4542,132,
0.800453000,0.000008000,10.0.0.1,1448,5990,132,
0.800462000,0.000009000,10.0.0.1,1448,7438,132,
0.800469000,0.000007000,10.0.0.1,1448,8886,132,
0.800476000,0.000007000,10.0.0.1,1448,10334,132,
0.800483000,0.000007000,10.0.0.1,1448,11782,132,
1.069950000,0.269467000,10.0.0.2,0,132,198,0.271160000
1.132738000,0.062788000,10.0.0.2,0,132,1646,0.332453000
1.195123000,0.062385000,10.0.0.2,0,132,3094,0.394695000
1.257133000,0.062010000,10.0.0.2,0,132,4542,0.456696000
1.270242000,0.013109000,10.0.0.1,1448,13230,132,
1.270440000,0.000198000,10.0.0.1,1448,14678,132,
1.320726000,0.050286000,10.0.0.2,0,132,5990,0.520281000
1.334393000,0.013667000,10.0.0.1,1448,16126,132,
1.334511000,0.000118000,10.0.0.1,1448,17574,132,
1.382092000,0.047581000,10.0.0.2,0,132,7438,0.581639000
1.396795000,0.014703000,10.0.0.1,1448,19022,132,
1.396860000,0.000065000,10.0.0.1,1448,20470,132,
1.445461000,0.048601000,10.0.0.2,0,132,8886,0.644999000
1.457165000,0.011704000,10.0.0.1,1448,21918,132,
1.457208000,0.000043000,10.0.0.1,1448,23366,132,
1.522172000,0.064964000,10.0.0.1,1448,24814,132,
1.522214000,0.000042000,10.0.0.1,1448,26262,132,
1.570474000,0.048260000,10.0.0.2,0,132,8886,
1.583476000,0.013002000,10.0.0.1,1448,27710,132,
1.583509000,0.000033000,10.0.0.1,1448,29158,132,
1.632800000,0.049291000,10.0.0.2,0,132,8886,
1.645728000,0.012928000,10.0.0.1,1448,30606,132,
1.645788000,0.000060000,10.0.0.1,1448,32054,132,
1.695882000,0.050094000,10.0.0.2,0,132,8886,
1.757430000,0.061548000,10.0.0.2,0,132,8886,
1.770840000,0.013410000,10.0.0.1,1448,8886,132,
1.820577000,0.049737000,10.0.0.2,0,132,8886,
1.882678000,0.062101000,10.0.0.2,0,132,8886,
1.896604000,0.013926000,10.0.0.1,1448,10334,132,
1.945280000,0.048676000,10.0.0.2,0,132,8886,
2.007880000,0.062600000,10.0.0.2,0,132,8886,
2.021638000,0.013758000,10.0.0.1,1448,11782,132,
2.070596000,0.048958000,10.0.0.2,0,132,8886,
2.132741000,0.062145000,10.0.0.2,0,132,8886,
2.145878000,0.013137000,10.0.0.1,1448,33502,132,
2.195629000,0.049751000,10.0.0.2,0,132,8886,
2.257052000,0.061423000,10.0.0.2,0,132,8886,
2.271441000,0.014389000,10.0.0.1,1448,34950,132,
2.320035000,0.048594000,10.0.0.2,0,132,10334,1.519566000
2.382567000,0.062532000,10.0.0.2,0,132,11782,1.582091000
2.445471000,0.062904000,10.0.0.2,0,132,29158,0.861995000
2.457791000,0.012320000,10.0.0.1,1448,29158,132,
2.457937000,0.000146000,10.0.0.1,1448,36398,132,
2.507687000,0.049750000,10.0.0.2,0,132,29158,
2.520837000,0.013150000,10.0.0.1,1448,32054,132,
2.521019000,0.000182000,10.0.0.1,1448,37846,132,
2.570714000,0.049695000,10.0.0.2,0,132,29158,
2.583902000,0.013188000,10.0.0.1,1448,39294,132,
2.646156000,0.062254000,10.0.0.1,1448,40742,132,
2.709665000,0.063509000,10.0.0.1,1448,42190,132,
2.757309000,0.047644000,10.0.0.2,0,132,32054,1.111581000
2.772091000,0.014782000,10.0.0.1,1448,43638,132,
2.820826000,0.048735000,10.0.0.2,0,132,32054,
2.882295000,0.061469000,10.0.0.2,0,132,37846,0.424358000
2.945871000,0.063576000,10.0.0.2,0,132,39294,0.424852000
2.958720000,0.012849000,10.0.0.1,1448,45086,132,
3.007368000,0.048648000,10.0.0.2,0,132,40742,0.423466000
3.022901000,0.015533000,10.0.0.1,1448,46534,132,
3.070467000,0.047566000,10.0.0.2,0,132,42190,0.424311000
3.082350000,0.011883000,10.0.0.1,1448,47982,132,
3.132336000,0.049986000,10.0.0.2,0,132,43638,0.422671000
3.146992000,0.014656000,10.0.0.1,1448,49430,132,
3.195465000,0.048473000,10.0.0.2,0,132,45086,0.423374000
3.208828000,0.013363000,10.0.0.1,1448,50878,132,
3.257111000,0.048283000,10.0.0.2,0,132,46534,0.298391000
3.271523000,0.014412000,10.0.0.1,1448,52326,132,
3.320770000,0.049247000,10.0.0.2,0,132,47982,0.297869000
3.333197000,0.012427000,10.0.0.1,1448,53774,132,
3.382225000,0.049028000,10.0.0.2,0,132,49430,0.299875000
3.396991000,0.014766000,10.0.0.1,1448,55222,132,
3.445827000,0.048836000,10.0.0.2,0,132,50878,0.298835000
3.458479000,0.012652000,10.0.0.1,1448,56670,132,
3.507512000,0.049033000,10.0.0.2,0,132,52326,0.298684000
3.522747000,0.015235000,10.0.0.1,1448,58118,132,
3.522824000,0.000077000,10.0.0.1,1448,59566,132,
3.569888000,0.047064000,10.0.0.2,0,132,53774,0.298365000
3.582736000,0.012848000,10.0.0.1,1448,61014,132,
3.632111000,0.049375000,10.0.0.2,0,132,55222,0.298914000
3.645859000,0.013748000,10.0.0.1,1448,62462,132,
3.694972000,0.049113000,10.0.0.2,0,132,56670,0.297981000
3.709190000,0.014218000,10.0.0.1,1448,63910,132,
3.757726000,0.048536000,10.0.0.2,0,132,58118,0.299247000
3.771195000,0.013469000,10.0.0.1,1448,65358,132,
3.820771000,0.049576000,10.0.0.2,0,132,59566,0.298024000
3.833795000,0.013024000,10.0.0.1,1448,66806,132,
3.882034000,0.048239000,10.0.0.2,0,132,61014,0.359210000
3.895248000,0.013214000,10.0.0.1,1448,68254,132,
3.946012000,0.050764000,10.0.0.2,0,132,62462,0.363276000
3.958194000,0.012182000,10.0.0.1,1448,69702,132,
4.007960000,0.048428000,10.0.0.2,0,132,63910,0.362101000
4.022055000,0.014095000,10.0.0.1,1448,71150,132,
4.070301000,0.048246000,10.0.0.2,0,132,65358,0.361111000
4.083974000,0.013673000,10.0.0.1,1448,72598,132,
4.084055000,0.000081000,10.0.0.1,1448,74046,132,
4.132497000,0.048442000,10.0.0.2,0,132,66806,0.361302000
4.146351000,0.013854000,10.0.0.1,1448,75494,132,
4.195904000,0.049553000,10.0.0.2,0,132,68254,0.362109000
4.209653000,0.013749000,10.0.0.1,1448,76942,132,
4.257434000,0.047781000,10.0.0.2,0,132,69702,0.362186000
4.270027000,0.012593000,10.0.0.1,1448,78390,132,
4.320854000,0.050827000,10.0.0.2,0,132,71150,0.362660000
4.334392000,0.013538000,10.0.0.1,1448,79838,132,
4.382238000,0.011375000,10.0.0.2,0,132,72598,0.360183000
