frame.time_relative,frame.time_delta,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
0.882099000,0.116574000,15,60,10.0.0.2,48616,148.113.1.33,80,0,0,0
1.089878000,0.207779000,16,60,148.113.1.33,80,10.0.0.2,48616,0,0,1
1.199789000,0.109911000,17,52,10.0.0.2,48616,148.113.1.33,80,0,1,1
1.199817000,0.000028000,18,194,10.0.0.2,48616,148.113.1.33,80,142,1,1
1.316611000,0.116794000,19,52,148.113.1.33,80,10.0.0.2,48616,0,1,143
1.615210000,0.298599000,20,52,148.113.1.33,80,10.0.0.2,48616,0,1,143
1.615280000,0.000070000,21,422,148.113.1.33,80,10.0.0.2,48616,370,1,143
1.726316000,0.111036000,22,52,10.0.0.2,48616,148.113.1.33,80,0,143,371
1.779628000,0.053312000,23,60,10.0.0.2,38652,148.113.1.33,443,0,0,0
2.046006000,0.266378000,24,60,148.113.1.33,443,10.0.0.2,38652,0,0,1
2.153992000,0.107986000,25,52,10.0.0.2,38652,148.113.1.33,443,0,1,1
2.155321000,0.001329000,26,463,10.0.0.2,38652,148.113.1.33,443,411,1,1
2.267566000,0.112245000,27,52,148.113.1.33,443,10.0.0.2,38652,0,1,412
2.477414000,0.209848000,28,1436,148.113.1.33,443,10.0.0.2,38652,1384,1,412
2.477490000,0.000076000,29,1436,148.113.1.33,443,10.0.0.2,38652,1384,1385,412
2.477501000,0.000011000,30,1380,148.113.1.33,443,10.0.0.2,38652,1328,2769,412
2.477507000,0.000006000,31,1056,148.113.1.33,443,10.0.0.2,38652,1004,4097,412
2.586669000,0.109162000,32,52,10.0.0.2,38652,148.113.1.33,443,0,412,1385
2.586729000,0.000060000,33,52,10.0.0.2,38652,148.113.1.33,443,0,412,2769
2.586738000,0.000009000,34,52,10.0.0.2,38652,148.113.1.33,443,0,412,4097
2.586743000,0.000005000,35,52,10.0.0.2,38652,148.113.1.33,443,0,412,5101
2.595204000,0.008461000,36,145,10.0.0.2,38652,148.113.1.33,443,93,412,5101
2.804065000,0.208861000,37,326,148.113.1.33,443,10.0.0.2,38652,274,5101,505
2.917294000,0.113229000,38,223,10.0.0.2,38652,148.113.1.33,443,171,505,5375
3.115775000,0.198481000,39,1436,148.113.1.33,443,10.0.0.2,38652,1384,5375,676
3.115849000,0.000074000,40,1436,148.113.1.33,443,10.0.0.2,38652,1384,6759,676
3.115860000,0.000011000,41,1436,148.113.1.33,443,10.0.0.2,38652,1384,8143,676
3.115866000,0.000006000,42,1436,148.113.1.33,443,10.0.0.2,38652,1384,9527,676
3.115871000,0.000005000,43,1436,148.113.1.33,443,10.0.0.2,38652,1384,10911,676
3.115875000,0.000004000,44,1436,148.113.1.33,443,10.0.0.2,38652,1384,12295,676
3.115880000,0.000005000,45,1436,148.113.1.33,443,10.0.0.2,38652,1384,13679,676
3.115884000,0.000004000,46,1436,148.113.1.33,443,10.0.0.2,38652,1384,15063,676
3.115888000,0.000004000,47,1436,148.113.1.33,443,10.0.0.2,38652,1384,16447,676
3.115892000,0.000004000,48,1436,148.113.1.33,443,10.0.0.2,38652,1384,17831,676
3.227893000,0.112001000,49,52,10.0.0.2,38652,148.113.1.33,443,0,676,8143
3.227950000,0.000057000,50,52,10.0.0.2,38652,148.113.1.33,443,0,676,10911
3.234426000,0.006476000,51,52,10.0.0.2,38652,148.113.1.33,443,0,676,13679
3.239841000,0.005415000,52,52,10.0.0.2,38652,148.113.1.33,443,0,676,16447
3.244315000,0.004474000,53,52,10.0.0.2,38652,148.113.1.33,443,0,676,19215
3.451240000,0.206925000,54,1436,148.113.1.33,443,10.0.0.2,38652,1384,19215,676
3.451282000,0.000042000,55,1436,148.113.1.33,443,10.0.0.2,38652,1384,20599,676
3.451286000,0.000004000,56,1436,148.113.1.33,443,10.0.0.2,38652,1384,21983,676
3.451288000,0.000002000,57,1436,148.113.1.33,443,10.0.0.2,38652,1384,23367,676
3.451291000,0.000003000,58,1436,148.113.1.33,443,10.0.0.2,38652,1384,24751,676
3.451293000,0.000002000,59,1436,148.113.1.33,443,10.0.0.2,38652,1384,26135,676
3.451295000,0.000002000,60,1436,148.113.1.33,443,10.0.0.2,38652,1384,27519,676
3.451298000,0.000003000,61,1436,148.113.1.33,443,10.0.0.2,38652,1384,28903,676
3.451300000,0.000002000,62,1436,148.113.1.33,443,10.0.0.2,38652,1384,30287,676
3.451303000,0.000003000,63,1436,148.113.1.33,443,10.0.0.2,38652,1384,31671,676
3.451305000,0.000002000,64,1436,148.113.1.33,443,10.0.0.2,38652,1384,33055,676
3.451307000,0.000002000,65,1436,148.113.1.33,443,10.0.0.2,38652,1384,34439,676
3.451309000,0.000002000,66,1436,148.113.1.33,443,10.0.0.2,38652,1384,35823,676
3.451312000,0.000003000,67,1436,148.113.1.33,443,10.0.0.2,38652,1384,37207,676
3.451314000,0.000002000,68,1436,148.113.1.33,443,10.0.0.2,38652,1384,38591,676
3.451316000,0.000002000,69,1436,148.113.1.33,443,10.0.0.2,38652,1384,39975,676
3.451318000,0.000002000,70,1436,148.113.1.33,443,10.0.0.2,38652,1384,41359,676
3.451325000,0.000007000,71,1436,148.113.1.33,443,10.0.0.2,38652,1384,42743,676
3.451328000,0.000003000,72,1436,148.113.1.33,443,10.0.0.2,38652,1384,44127,676
3.451329000,0.000001000,73,1436,148.113.1.33,443,10.0.0.2,38652,1384,45511,676
3.556705000,0.105376000,74,52,10.0.0.2,38652,148.113.1.33,443,0,676,21983
3.559167000,0.002462000,75,52,10.0.0.2,48616,148.113.1.33,80,0,143,371
3.563490000,0.004323000,76,52,10.0.0.2,38652,148.113.1.33,443,0,676,24751
3.568967000,0.005477000,77,52,10.0.0.2,38652,148.113.1.33,443,0,676,27519
3.573297000,0.004330000,78,52,10.0.0.2,38652,148.113.1.33,443,0,676,30287
3.578816000,0.005519000,79,52,10.0.0.2,38652,148.113.1.33,443,0,676,33055
3.583248000,0.004432000,80,52,10.0.0.2,38652,148.113.1.33,443,0,676,35823
3.588715000,0.005467000,81,52,10.0.0.2,38652,148.113.1.33,443,0,676,38591
3.592219000,0.003504000,82,52,10.0.0.2,38652,148.113.1.33,443,0,676,41359
3.595682000,0.003463000,83,52,10.0.0.2,38652,148.113.1.33,443,0,676,44127
3.604176000,0.008494000,84,52,10.0.0.2,38652,148.113.1.33,443,0,676,46895
3.713487000,0.109311000,85,1436,148.113.1.33,443,10.0.0.2,38652,1384,46895,676
3.713549000,0.000062000,86,1436,148.113.1.33,443,10.0.0.2,38652,1384,48279,676
3.713560000,0.000011000,87,1436,148.113.1.33,443,10.0.0.2,38652,1384,49663,676
3.713567000,0.000007000,88,1436,148.113.1.33,443,10.0.0.2,38652,1384,51047,676
3.713572000,0.000005000,89,1436,148.113.1.33,443,10.0.0.2,38652,1384,52431,676
3.715624000,0.002052000,90,1436,148.113.1.33,443,10.0.0.2,38652,1384,53815,676
3.715681000,0.000057000,91,1436,148.113.1.33,443,10.0.0.2,38652,1384,55199,676
3.715696000,0.000015000,92,1436,148.113.1.33,443,10.0.0.2,38652,1384,56583,676
3.717973000,0.002277000,93,52,148.113.1.33,80,10.0.0.2,48616,0,371,144
