frame.time_relative,frame.time_delta,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
0.000000000,0.000000000,1,60,10.0.0.2,38668,172.17.22.190,8080,0,0,0
0.024662000,0.024662000,2,60,172.17.22.190,8080,10.0.0.2,38668,0,0,1
0.060332000,0.035670000,3,52,10.0.0.2,38668,172.17.22.190,8080,0,1,1
0.060401000,0.000069000,4,192,10.0.0.2,38668,172.17.22.190,8080,140,1,1
0.082866000,0.022465000,5,52,172.17.22.190,8080,10.0.0.2,38668,0,1,141
0.086478000,0.003612000,6,249,172.17.22.190,8080,10.0.0.2,38668,197,1,141
0.086690000,0.000212000,7,408,172.17.22.190,8080,10.0.0.2,38668,356,198,141
0.113913000,0.027223000,8,52,10.0.0.2,38668,172.17.22.190,8080,0,141,198
0.113994000,0.000081000,9,52,10.0.0.2,38668,172.17.22.190,8080,0,141,555
0.135231000,0.021237000,10,52,172.17.22.190,8080,10.0.0.2,38668,0,555,142
