frame.time_relative,frame.time_delta,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.463165000,0.009337000,0,0,0,
0.709895000,0.246730000,0,0,1,0.246730000
0.740301000,0.030406000,0,1,1,0.030406000
0.740365000,0.000064000,142,1,1,
0.766476000,0.022883000,0,1,143,0.026111000
1.157017000,0.253390000,0,1,143,
1.164181000,0.007164000,1448,1,143,
1.164241000,0.000060000,1448,1449,143,
1.164249000,0.000008000,1448,2897,143,
1.164255000,0.000006000,1448,4345,143,
1.164260000,0.000005000,1448,5793,143,
1.164268000,0.000008000,1448,7241,143,
1.164273000,0.000005000,1448,8689,143,
1.165437000,0.001164000,1448,10137,143,
1.165508000,0.000071000,1448,11585,143,
1.165515000,0.000007000,1448,13033,143,
1.192240000,0.026725000,0,143,1449,0.028059000
1.457951000,0.265711000,1448,14481,143,
1.472664000,0.014713000,1448,15929,143,
1.487198000,0.014534000,0,143,1449,
1.499951000,0.012753000,0,143,1449,
1.732558000,0.232607000,1448,17377,143,
1.744191000,0.011633000,1448,18825,143,
1.758472000,0.014281000,0,143,1449,
1.770172000,0.011700000,0,143,1449,
2.027718000,0.257546000,1448,1449,143,
2.027782000,0.000064000,1448,20273,143,
2.053856000,0.026074000,0,143,2897,0.889615000
3.107876000,1.054020000,1448,2897,143,
3.137749000,0.029873000,0,143,4345,1.973500000
3.392624000,0.254875000,1448,4345,143,
3.392687000,0.000063000,1448,5793,143,
3.421620000,0.028933000,0,143,5793,2.257365000
3.665171000,0.243551000,1448,7241,143,
3.665247000,0.000076000,1448,8689,143,
3.692473000,0.027226000,0,143,5793,
4.479311000,0.599670000,1448,5793,143,
4.505276000,0.025965000,0,143,8689,3.341008000
4.751327000,0.093013000,1448,8689,143,
4.751400000,0.000073000,1448,10137,143,
4.751405000,0.000005000,1448,11585,143,
4.776651000,0.025246000,0,143,10137,3.612378000
5.018195000,0.241544000,1448,13033,143,
5.047395000,0.029200000,0,143,10137,
5.936866000,0.889471000,1448,10137,143,
