frame.time_relative,frame.time_delta,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
0.217145000,0.108001000,5,60,10.0.0.2,54070,148.113.1.33,80,0,0,0
0.336412000,0.119267000,6,60,148.113.1.33,80,10.0.0.2,54070,0,0,1
0.432595000,0.096183000,7,52,10.0.0.2,54070,148.113.1.33,80,0,1,1
0.432648000,0.000053000,8,194,10.0.0.2,54070,148.113.1.33,80,142,1,1
0.462687000,0.030039000,9,52,148.113.1.33,80,10.0.0.2,54070,0,1,143
0.767819000,0.305132000,10,52,148.113.1.33,80,10.0.0.2,54070,0,1,143
0.767903000,0.000084000,11,422,148.113.1.33,80,10.0.0.2,54070,370,1,143
0.859916000,0.092013000,12,52,10.0.0.2,54070,148.113.1.33,80,0,143,371
0.937874000,0.077958000,13,60,10.0.0.2,53788,148.113.1.33,443,0,0,0
1.095259000,0.157385000,14,60,148.113.1.33,443,10.0.0.2,53788,0,0,1
1.190582000,0.095323000,15,52,10.0.0.2,53788,148.113.1.33,443,0,1,1
1.227603000,0.037021000,16,463,10.0.0.2,53788,148.113.1.33,443,411,1,1
1.258245000,0.030642000,17,52,148.113.1.33,443,10.0.0.2,53788,0,1,412
1.492140000,0.233895000,18,1436,148.113.1.33,443,10.0.0.2,53788,1384,1,412
1.492195000,0.000055000,19,1436,148.113.1.33,443,10.0.0.2,53788,1384,1385,412
1.492201000,0.000006000,20,1380,148.113.1.33,443,10.0.0.2,53788,1328,2769,412
1.492205000,0.000004000,21,1056,148.113.1.33,443,10.0.0.2,53788,1004,4097,412
1.588189000,0.095984000,22,52,10.0.0.2,53788,148.113.1.33,443,0,412,1385
1.588270000,0.000081000,23,52,10.0.0.2,53788,148.113.1.33,443,0,412,2769
1.594067000,0.005797000,24,52,10.0.0.2,53788,148.113.1.33,443,0,412,4097
1.599533000,0.005466000,25,52,10.0.0.2,53788,148.113.1.33,443,0,412,5101
1.611546000,0.012013000,26,145,10.0.0.2,53788,148.113.1.33,443,93,412,5101
1.690687000,0.079141000,27,326,148.113.1.33,443,10.0.0.2,53788,274,5101,505
1.787153000,0.096466000,28,223,10.0.0.2,53788,148.113.1.33,443,171,505,5375
1.957635000,0.170482000,29,1436,148.113.1.33,443,10.0.0.2,53788,1384,5375,676
1.957763000,0.000128000,30,1436,148.113.1.33,443,10.0.0.2,53788,1384,6759,676
1.957779000,0.000016000,31,1436,148.113.1.33,443,10.0.0.2,53788,1384,8143,676
1.957783000,0.000004000,32,1436,148.113.1.33,443,10.0.0.2,53788,1384,9527,676
1.957786000,0.000003000,33,1436,148.113.1.33,443,10.0.0.2,53788,1384,10911,676
1.957790000,0.000004000,34,1436,148.113.1.33,443,10.0.0.2,53788,1384,12295,676
1.957796000,0.000006000,35,1436,148.113.1.33,443,10.0.0.2,53788,1384,13679,676
1.957801000,0.000005000,36,1436,148.113.1.33,443,10.0.0.2,53788,1384,15063,676
1.957805000,0.000004000,37,1436,148.113.1.33,443,10.0.0.2,53788,1384,16447,676
1.957809000,0.000004000,38,1436,148.113.1.33,443,10.0.0.2,53788,1384,17831,676
2.057353000,0.099544000,39,52,10.0.0.2,53788,148.113.1.33,443,0,676,8143
2.063246000,0.005893000,40,52,10.0.0.2,53788,148.113.1.33,443,0,676,10911
2.075293000,0.012047000,41,52,10.0.0.2,53788,148.113.1.33,443,0,676,13679
2.086999000,0.011706000,42,52,10.0.0.2,53788,148.113.1.33,443,0,676,16447
2.099957000,0.012958000,43,52,10.0.0.2,53788,148.113.1.33,443,0,676,19215
2.173193000,0.073236000,44,1436,148.113.1.33,443,10.0.0.2,53788,1384,19215,676
