frame.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
0.183471000,5,60,10.0.0.2,55160,90.130.70.73,80,0,0,0
0.499259000,6,60,90.130.70.73,80,10.0.0.2,55160,0,0,1
0.683915000,7,52,10.0.0.2,55160,90.130.70.73,80,0,1,1
0.684022000,8,189,10.0.0.2,55160,90.130.70.73,80,137,1,1
0.730506000,9,52,90.130.70.73,80,10.0.0.2,55160,0,1,138
1.160689000,10,52,90.130.70.73,80,10.0.0.2,55160,0,1,138
1.162071000,11,1500,90.130.70.73,80,10.0.0.2,55160,1448,1,138
1.162167000,12,1500,90.130.70.73,80,10.0.0.2,55160,1448,1449,138
1.371165000,13,52,10.0.0.2,55160,90.130.70.73,80,0,138,1449
1.389881000,14,1500,90.130.70.73,80,10.0.0.2,55160,1448,2897,138
1.389970000,15,1500,90.130.70.73,80,10.0.0.2,55160,1448,4345,138
1.389979000,16,1500,90.130.70.73,80,10.0.0.2,55160,1448,5793,138
1.389985000,17,1500,90.130.70.73,80,10.0.0.2,55160,1448,7241,138
1.389990000,18,1500,90.130.70.73,80,10.0.0.2,55160,1448,8689,138
1.391179000,19,1500,90.130.70.73,80,10.0.0.2,55160,1448,10137,138
1.391211000,20,1500,90.130.70.73,80,10.0.0.2,55160,1448,11585,138
1.391217000,21,1500,90.130.70.73,80,10.0.0.2,55160,1448,13033,138
1.434913000,22,52,10.0.0.2,55160,90.130.70.73,80,0,138,2897
1.558845000,23,52,10.0.0.2,55160,90.130.70.73,80,0,138,4345
1.621235000,24,52,10.0.0.2,55160,90.130.70.73,80,0,138,5793
1.622472000,25,1500,90.130.70.73,80,10.0.0.2,55160,1448,14481,138
1.622537000,26,1500,90.130.70.73,80,10.0.0.2,55160,1448,15929,138
1.684867000,27,52,10.0.0.2,55160,90.130.70.73,80,0,138,7241
1.714616000,28,1500,90.130.70.73,80,10.0.0.2,55160,1448,17377,138
1.714688000,29,1500,90.130.70.73,80,10.0.0.2,55160,1448,18825,138
1.746583000,30,52,10.0.0.2,55160,90.130.70.73,80,0,138,8689
1.808657000,31,52,10.0.0.2,55160,90.130.70.73,80,0,138,8689
1.871144000,32,52,10.0.0.2,55160,90.130.70.73,80,0,138,8689
1.892603000,33,1500,90.130.70.73,80,10.0.0.2,55160,1448,20273,138
1.892767000,34,1500,90.130.70.73,80,10.0.0.2,55160,1448,21721,138
1.892777000,35,1500,90.130.70.73,80,10.0.0.2,55160,1448,23169,138
1.892786000,36,1500,90.130.70.73,80,10.0.0.2,55160,1448,24617,138
1.935291000,37,52,10.0.0.2,55160,90.130.70.73,80,0,138,8689
1.996123000,38,52,10.0.0.2,55160,90.130.70.73,80,0,138,8689
2.021474000,39,1500,90.130.70.73,80,10.0.0.2,55160,1448,26065,138
2.021549000,40,1500,90.130.70.73,80,10.0.0.2,55160,1448,27513,138
2.022746000,41,1500,90.130.70.73,80,10.0.0.2,55160,1448,28961,138
2.022785000,42,1500,90.130.70.73,80,10.0.0.2,55160,1448,30409,138
