frame.time_relative,frame.time_delta,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
0.602804000,0.085476000,12,60,10.0.0.2,36268,90.130.70.73,80,0,0,0
1.046234000,0.443430000,13,60,90.130.70.73,80,10.0.0.2,36268,0,0,1
1.138094000,0.091860000,14,52,10.0.0.2,36268,90.130.70.73,80,0,1,1
1.138201000,0.000107000,15,190,10.0.0.2,36268,90.130.70.73,80,138,1,1
1.169989000,0.031788000,16,52,90.130.70.73,80,10.0.0.2,36268,0,1,139
1.657508000,0.487519000,17,52,90.130.70.73,80,10.0.0.2,36268,0,1,139
1.657627000,0.000119000,18,1436,90.130.70.73,80,10.0.0.2,36268,1384,1,139
1.657637000,0.000010000,19,1436,90.130.70.73,80,10.0.0.2,36268,1384,1385,139
1.657642000,0.000005000,20,1436,90.130.70.73,80,10.0.0.2,36268,1384,2769,139
1.657648000,0.000006000,21,1436,90.130.70.73,80,10.0.0.2,36268,1384,4153,139
1.690021000,0.032373000,22,1436,90.130.70.73,80,10.0.0.2,36268,1384,5537,139
1.690086000,0.000065000,23,1436,90.130.70.73,80,10.0.0.2,36268,1384,6921,139
1.746189000,0.056103000,24,52,10.0.0.2,36268,90.130.70.73,80,0,139,1385
1.751767000,0.005578000,25,52,10.0.0.2,36268,90.130.70.73,80,0,139,2769
1.763843000,0.012076000,26,52,10.0.0.2,36268,90.130.70.73,80,0,139,4153
1.763896000,0.000053000,27,52,10.0.0.2,36268,90.130.70.73,80,0,139,5537
1.776213000,0.012317000,28,52,10.0.0.2,36268,90.130.70.73,80,0,139,6921
1.778358000,0.002145000,29,1436,90.130.70.73,80,10.0.0.2,36268,1384,8305,139
1.778638000,0.000280000,30,1436,90.130.70.73,80,10.0.0.2,36268,1384,9689,139
1.781973000,0.003335000,31,52,10.0.0.2,36268,90.130.70.73,80,0,139,8305
1.871992000,0.090019000,32,52,10.0.0.2,36268,90.130.70.73,80,0,139,9689
1.872065000,0.000073000,33,52,10.0.0.2,36268,90.130.70.73,80,0,139,11073
1.906303000,0.034238000,34,1436,90.130.70.73,80,10.0.0.2,36268,1384,11073,139
1.906415000,0.000112000,35,1436,90.130.70.73,80,10.0.0.2,36268,1384,12457,139
1.998647000,0.092232000,36,52,10.0.0.2,36268,90.130.70.73,80,0,139,12457
1.998717000,0.000070000,37,52,10.0.0.2,36268,90.130.70.73,80,0,139,13841
2.027961000,0.029244000,38,1436,90.130.70.73,80,10.0.0.2,36268,1384,13841,139
2.028064000,0.000103000,39,1436,90.130.70.73,80,10.0.0.2,36268,1384,15225,139
2.125097000,0.097033000,40,52,10.0.0.2,36268,90.130.70.73,80,0,139,15225
2.125209000,0.000112000,41,52,10.0.0.2,36268,90.130.70.73,80,0,139,16609
2.158230000,0.033021000,42,1436,90.130.70.73,80,10.0.0.2,36268,1384,16609,139
2.158316000,0.000086000,43,1436,90.130.70.73,80,10.0.0.2,36268,1384,17993,139
2.158326000,0.000010000,44,1436,90.130.70.73,80,10.0.0.2,36268,1384,19377,139
2.158332000,0.000006000,45,1436,90.130.70.73,80,10.0.0.2,36268,1384,20761,139
2.158337000,0.000005000,46,1436,90.130.70.73,80,10.0.0.2,36268,1384,22145,139
2.158342000,0.000005000,47,1436,90.130.70.73,80,10.0.0.2,36268,1384,23529,139
2.158347000,0.000005000,48,1436,90.130.70.73,80,10.0.0.2,36268,1384,24913,139
2.158352000,0.000005000,49,1436,90.130.70.73,80,10.0.0.2,36268,1384,26297,139
2.158357000,0.000005000,50,1436,90.130.70.73,80,10.0.0.2,36268,1384,27681,139
2.158479000,0.000122000,51,1436,90.130.70.73,80,10.0.0.2,36268,1384,29065,139
2.245818000,0.087339000,52,52,10.0.0.2,36268,90.130.70.73,80,0,139,17993
2.251471000,0.005653000,53,52,10.0.0.2,36268,90.130.70.73,80,0,139,19377
2.257109000,0.005638000,54,52,10.0.0.2,36268,90.130.70.73,80,0,139,20761
2.263586000,0.006477000,55,52,10.0.0.2,36268,90.130.70.73,80,0,139,22145
2.269369000,0.005783000,56,52,10.0.0.2,36268,90.130.70.73,80,0,139,23529
2.275263000,0.005894000,57,52,10.0.0.2,36268,90.130.70.73,80,0,139,24913
2.281145000,0.005882000,58,1436,90.130.70.73,80,10.0.0.2,36268,1384,30449,139
2.281178000,0.000033000,59,1436,90.130.70.73,80,10.0.0.2,36268,1384,31833,139
2.281183000,0.000005000,60,1436,90.130.70.73,80,10.0.0.2,36268,1384,33217,139
2.281186000,0.000003000,61,1436,90.130.70.73,80,10.0.0.2,36268,1384,34601,139
2.281190000,0.000004000,62,1436,90.130.70.73,80,10.0.0.2,36268,1384,35985,139
2.281193000,0.000003000,63,1436,90.130.70.73,80,10.0.0.2,36268,1384,37369,139
2.281197000,0.000004000,64,1436,90.130.70.73,80,10.0.0.2,36268,1384,38753,139
2.281760000,0.000563000,65,52,10.0.0.2,36268,90.130.70.73,80,0,139,26297
2.288164000,0.006404000,66,52,10.0.0.2,36268,90.130.70.73,80,0,139,27681
2.293514000,0.005350000,67,52,10.0.0.2,36268,90.130.70.73,80,0,139,29065
2.342008000,0.048494000,68,52,10.0.0.2,36268,90.130.70.73,80,0,139,30449
2.377562000,0.035554000,69,52,10.0.0.2,36268,90.130.70.73,80,0,139,33217
2.389399000,0.011837000,70,52,10.0.0.2,36268,90.130.70.73,80,0,139,35985
2.401993000,0.012594000,71,52,10.0.0.2,36268,90.130.70.73,80,0,139,38753
2.408623000,0.006630000,72,1436,90.130.70.73,80,10.0.0.2,36268,1384,40137,139
2.408706000,0.000083000,73,1436,90.130.70.73,80,10.0.0.2,36268,1384,41521,139
2.408713000,0.000007000,74,1436,90.130.70.73,80,10.0.0.2,36268,1384,42905,139
2.408718000,0.000005000,75,1436,90.130.70.73,80,10.0.0.2,36268,1384,44289,139
2.455540000,0.046822000,76,52,10.0.0.2,36268,90.130.70.73,80,0,139,40137
2.496536000,0.040996000,77,1436,90.130.70.73,80,10.0.0.2,36268,1384,45673,139
2.496688000,0.000152000,78,1436,90.130.70.73,80,10.0.0.2,36268,1384,47057,139
2.496699000,0.000011000,79,1436,90.130.70.73,80,10.0.0.2,36268,1384,48441,139
2.496708000,0.000009000,80,1436,90.130.70.73,80,10.0.0.2,36268,1384,49825,139
2.504764000,0.008056000,81,52,10.0.0.2,36268,90.130.70.73,80,0,139,42905
2.516520000,0.011756000,82,52,10.0.0.2,36268,90.130.70.73,80,0,139,45673
2.536318000,0.019798000,83,1436,90.130.70.73,80,10.0.0.2,36268,1384,51209,139
2.536389000,0.000071000,84,1436,90.130.70.73,80,10.0.0.2,36268,1384,52593,139
2.536394000,0.000005000,85,1436,90.130.70.73,80,10.0.0.2,36268,1384,53977,139
2.536397000,0.000003000,86,1436,90.130.70.73,80,10.0.0.2,36268,1384,55361,139
2.582640000,0.046243000,87,52,10.0.0.2,36268,90.130.70.73,80,0,139,47057
2.589011000,0.006371000,88,52,10.0.0.2,36268,90.130.70.73,80,0,139,48441
2.594474000,0.005463000,89,52,10.0.0.2,36268,90.130.70.73,80,0,139,49825
2.600209000,0.005735000,90,52,10.0.0.2,36268,90.130.70.73,80,0,139,51209
2.615964000,0.015755000,91,1436,90.130.70.73,80,10.0.0.2,36268,1384,56745,139
2.616055000,0.000091000,92,1436,90.130.70.73,80,10.0.0.2,36268,1384,58129,139
