frame.time_relative,frame.time_delta,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
1.341342000,0.221381000,15,60,10.0.0.2,40378,148.113.1.33,80,0,0,0
1.514618000,0.173276000,16,60,148.113.1.33,80,10.0.0.2,40378,0,0,1
1.651998000,0.137380000,17,52,10.0.0.2,40378,148.113.1.33,80,0,1,1
1.652082000,0.000084000,18,194,10.0.0.2,40378,148.113.1.33,80,142,1,1
1.670077000,0.017995000,19,52,148.113.1.33,80,10.0.0.2,40378,0,1,143
2.058402000,0.388325000,20,52,148.113.1.33,80,10.0.0.2,40378,0,1,143
2.058509000,0.000107000,21,422,148.113.1.33,80,10.0.0.2,40378,370,1,143
2.214382000,0.155873000,22,52,10.0.0.2,40378,148.113.1.33,80,0,143,371
2.340885000,0.126503000,23,60,10.0.0.2,38072,148.113.1.33,443,0,0,0
2.587272000,0.246387000,24,60,148.113.1.33,443,10.0.0.2,38072,0,0,1
2.713819000,0.126547000,25,52,10.0.0.2,38072,148.113.1.33,443,0,1,1
2.713944000,0.000125000,26,463,10.0.0.2,38072,148.113.1.33,443,411,1,1
2.729956000,0.016012000,27,52,148.113.1.33,443,10.0.0.2,38072,0,1,412
3.133650000,0.403694000,28,1436,148.113.1.33,443,10.0.0.2,38072,1384,1,412
3.133720000,0.000070000,29,1436,148.113.1.33,443,10.0.0.2,38072,1384,1385,412
3.133725000,0.000005000,30,1380,148.113.1.33,443,10.0.0.2,38072,1328,2769,412
3.133730000,0.000005000,31,1056,148.113.1.33,443,10.0.0.2,38072,1004,4097,412
3.277066000,0.143336000,32,52,10.0.0.2,38072,148.113.1.33,443,0,412,1385
3.338215000,0.061149000,33,52,10.0.0.2,38072,148.113.1.33,443,0,412,2769
3.401252000,0.063037000,34,52,10.0.0.2,38072,148.113.1.33,443,0,412,4097
3.463080000,0.061828000,35,52,10.0.0.2,38072,148.113.1.33,443,0,412,5101
3.463144000,0.000064000,36,145,10.0.0.2,38072,148.113.1.33,443,93,412,5101
3.569011000,0.105867000,37,326,148.113.1.33,443,10.0.0.2,38072,274,5101,505
3.713173000,0.144162000,38,223,10.0.0.2,38072,148.113.1.33,443,171,505,5375
4.244300000,0.531127000,39,1436,148.113.1.33,443,10.0.0.2,38072,1384,5375,676
4.244360000,0.000060000,40,1436,148.113.1.33,443,10.0.0.2,38072,1384,6759,676
4.244365000,0.000005000,41,1436,148.113.1.33,443,10.0.0.2,38072,1384,8143,676
4.244368000,0.000003000,42,1436,148.113.1.33,443,10.0.0.2,38072,1384,9527,676
4.244371000,0.000003000,43,1436,148.113.1.33,443,10.0.0.2,38072,1384,10911,676
4.244374000,0.000003000,44,1436,148.113.1.33,443,10.0.0.2,38072,1384,12295,676
4.244379000,0.000005000,45,1436,148.113.1.33,443,10.0.0.2,38072,1384,13679,676
4.244382000,0.000003000,46,1436,148.113.1.33,443,10.0.0.2,38072,1384,15063,676
4.244384000,0.000002000,47,1436,148.113.1.33,443,10.0.0.2,38072,1384,16447,676
4.244387000,0.000003000,48,1436,148.113.1.33,443,10.0.0.2,38072,1384,17831,676
4.461629000,0.217242000,49,52,10.0.0.2,38072,148.113.1.33,443,0,676,6759
4.461685000,0.000056000,50,52,10.0.0.2,38072,148.113.1.33,443,0,676,8143
4.525423000,0.026875000,52,52,10.0.0.2,38072,148.113.1.33,443,0,676,9527
4.525499000,0.000076000,53,52,10.0.0.2,38072,148.113.1.33,443,0,676,10911
4.543120000,0.017621000,54,1436,148.113.1.33,443,10.0.0.2,38072,1384,19215,676
4.543191000,0.000071000,55,1436,148.113.1.33,443,10.0.0.2,38072,1384,20599,676
4.543198000,0.000007000,56,1436,148.113.1.33,443,10.0.0.2,38072,1384,21983,676
4.543203000,0.000005000,57,1436,148.113.1.33,443,10.0.0.2,38072,1384,23367,676
4.712859000,0.169656000,58,52,10.0.0.2,38072,148.113.1.33,443,0,676,10911
