frame.time_relative,frame.time_delta,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.207399000,0.071228000,0,0,0,
1.227370000,0.383356000,0,0,0,
1.598706000,0.371336000,0,0,1,1.391307000
1.663977000,0.065271000,0,1,1,0.065271000
1.663997000,0.000020000,142,1,1,
1.761784000,0.097787000,0,1,143,0.097787000
2.240002000,0.478218000,0,1,143,
2.240082000,0.000080000,1448,1,143,
2.252785000,0.012703000,1448,1449,143,
2.276978000,0.024193000,1448,2897,143,
2.278120000,0.001142000,1448,4345,143,
2.308183000,0.030063000,0,143,1449,0.068101000
2.317307000,0.009124000,0,143,2897,0.064522000
2.334996000,0.017689000,1448,5793,143,
2.335049000,0.000053000,1448,7241,143,
2.340410000,0.005361000,0,143,4345,0.063432000
2.343564000,0.003154000,0,143,5793,0.065444000
2.375129000,0.031565000,1448,8689,143,
2.378234000,0.003105000,1448,10137,143,
2.401531000,0.023297000,0,143,7241,0.066535000
2.401584000,0.000053000,0,143,8689,0.066535000
2.425862000,0.024278000,1448,11585,143,
2.425908000,0.000046000,1448,13033,143,
2.440237000,0.014329000,0,143,10137,0.065108000
2.441413000,0.001176000,0,143,11585,0.063179000
2.489718000,0.048305000,0,143,13033,0.063856000
2.492892000,0.003174000,0,143,14481,0.066984000
2.688179000,0.195287000,1448,14481,143,
2.688222000,0.000043000,1448,15929,143,
2.704362000,0.016140000,1448,18825,143,
2.704402000,0.000040000,1448,17377,143,
2.752062000,0.047660000,0,143,15929,0.063883000
2.752376000,0.000314000,1448,21721,143,
2.752403000,0.000027000,1448,20273,143,
2.755276000,0.002873000,0,143,17377,0.067054000
2.768442000,0.013166000,0,143,17377,
2.771616000,0.003174000,0,143,20273,0.067254000
2.802305000,0.030689000,1448,23169,143,
2.802336000,0.000031000,1448,24617,143,
2.810784000,0.008448000,1448,26065,143,
2.810827000,0.000043000,1448,27513,143,
2.816860000,0.006033000,0,143,20273,
2.820111000,0.003251000,0,143,23169,0.067735000
2.839956000,0.019845000,1448,28961,143,
2.839993000,0.000037000,1448,30409,143,
2.868016000,0.028023000,0,143,24617,0.065711000
2.870258000,0.002242000,0,143,26065,0.067922000
2.875000000,0.004742000,0,143,27513,0.064216000
2.876389000,0.001389000,1448,34753,143,
2.876413000,0.000024000,1448,31857,143,
2.877159000,0.000746000,0,143,28961,0.066332000
2.881513000,0.004354000,1448,33305,143,
2.881540000,0.000027000,1448,36201,143,
2.881543000,0.000003000,1448,37649,143,
2.881545000,0.000002000,1448,39097,143,
2.881547000,0.000002000,1448,40545,143,
2.881548000,0.000001000,1448,41993,143,
2.903613000,0.022065000,0,143,30409,0.063657000
2.905685000,0.002072000,0,143,31857,0.065692000
2.941445000,0.035760000,0,143,31857,
2.944617000,0.003172000,0,143,33305,0.068204000
2.946769000,0.002152000,0,143,36201,0.070380000
2.949903000,0.003134000,0,143,39097,0.068360000
2.957163000,0.007260000,0,143,41993,0.075616000
2.999590000,0.042427000,0,143,43441,0.118042000
3.112810000,0.113220000,1448,43441,143,
3.112899000,0.000089000,1448,44889,143,
3.149641000,0.036742000,1448,46337,143,
3.149691000,0.000050000,1448,47785,143,
3.168186000,0.018495000,1448,49233,143,
3.168273000,0.000087000,1448,50681,143,
3.180206000,0.011933000,1448,52129,143,
3.180234000,0.000028000,1448,55025,143,
3.183232000,0.002998000,0,143,46337,0.070333000
3.194429000,0.011197000,1448,53577,143,
3.198817000,0.004388000,1448,56473,143,
3.198856000,0.000039000,1448,57921,143,
3.215945000,0.017089000,0,143,49233,0.066254000
3.225598000,0.009653000,1448,59369,143,
3.235455000,0.009857000,0,143,52129,0.067182000
3.236730000,0.001275000,1448,60817,143,
3.236766000,0.000036000,1448,62265,143,
3.236768000,0.000002000,1448,63713,143,
3.244670000,0.007902000,0,143,53577,0.064464000
3.247771000,0.003101000,0,143,53577,
3.255766000,0.007995000,1448,65161,143,
3.255827000,0.000061000,1448,66609,143,
3.259715000,0.003888000,0,143,56473,0.079481000
3.261849000,0.002134000,0,143,57921,0.063032000
3.266986000,0.005137000,0,143,59369,0.068130000
3.272355000,0.005369000,1448,68057,143,
3.272429000,0.000074000,1448,69505,143,
3.290469000,0.018040000,0,143,60817,0.064871000
3.294126000,0.003657000,1448,70953,143,
3.300804000,0.006678000,0,143,62265,0.064074000
3.300827000,0.000023000,0,143,63713,0.064061000
3.304929000,0.004102000,0,143,65161,0.068161000
3.317759000,0.012830000,1448,72401,143,
3.317787000,0.000028000,1448,73849,143,
3.317794000,0.000007000,1448,75297,143,
3.317795000,0.000001000,1448,76745,143,
3.320306000,0.002511000,0,143,66609,0.064540000
3.324566000,0.004260000,0,143,68057,0.068739000
3.334803000,0.010237000,1448,78193,143,
3.334879000,0.000076000,1448,79641,143,
3.336857000,0.001978000,0,143,69505,0.064502000
3.339017000,0.002160000,0,143,70953,0.066588000
3.344470000,0.005453000,1448,81089,143,
3.344513000,0.000043000,1448,82537,143,
3.344516000,0.000003000,1448,83985,143,
3.356753000,0.012237000,1448,85433,143,
3.356777000,0.000024000,1448,86881,143,
3.357597000,0.000820000,0,143,72401,0.063471000
3.378794000,0.021197000,1448,88329,143,
3.378892000,0.000098000,1448,89777,143,
3.382255000,0.003363000,0,143,73849,0.064496000
3.384597000,0.002342000,0,143,75297,0.066810000
3.386139000,0.001542000,1448,91225,143,
3.386170000,0.000031000,1448,92673,143,
3.386826000,0.000656000,0,143,76745,0.069032000
3.388937000,0.002111000,0,143,78193,0.071142000
3.398325000,0.009388000,1448,94121,143,
3.399278000,0.000953000,0,143,79641,0.064475000
3.401398000,0.002120000,0,143,81089,0.066519000
3.408628000,0.007230000,0,143,82537,0.064158000
3.409498000,0.000870000,1448,95569,143,
3.409528000,0.000030000,1448,98465,143,
3.409530000,0.000002000,1448,97017,143,
3.410736000,0.001206000,0,143,83985,0.066223000
3.413993000,0.003257000,0,143,85433,0.069477000
3.420585000,0.006592000,0,143,86881,0.063832000
3.422753000,0.002168000,0,143,88329,0.065976000
3.441836000,0.019083000,0,143,89777,0.063042000
3.444973000,0.003137000,0,143,91225,0.066081000
3.449360000,0.004387000,0,143,92673,0.063221000
3.451506000,0.002146000,0,143,94121,0.065336000
3.463662000,0.012156000,0,143,95569,0.065337000
3.473924000,0.010262000,0,143,97017,0.064426000
3.476140000,0.002216000,0,143,97017,
3.478267000,0.002127000,0,143,99913,0.068739000
3.547209000,0.068942000,1448,101361,143,
3.551398000,0.004189000,1448,99913,143,
3.551455000,0.000057000,1448,102809,143,
3.612934000,0.061479000,0,143,99913,
3.615076000,0.002142000,0,143,102809,0.067867000
3.618268000,0.003192000,0,143,104257,0.066813000
3.728341000,0.110073000,1448,104257,143,
3.728379000,0.000038000,1448,105705,143,
3.728382000,0.000003000,1448,107153,143,
3.728384000,0.000002000,1448,108601,143,
3.728386000,0.000002000,1448,110049,143,
3.728388000,0.000002000,1448,111497,143,
3.735579000,0.007191000,1448,112945,143,
3.735631000,0.000052000,1448,114393,143,
3.735639000,0.000008000,1448,115841,143,
3.735643000,0.000004000,1448,117289,143,
3.735646000,0.000003000,1448,118737,143,
3.735649000,0.000003000,1448,120185,143,
3.742748000,0.007099000,1448,121633,143,
3.750609000,0.007861000,1448,123081,143,
3.750680000,0.000071000,1448,124529,143,
3.750686000,0.000006000,1448,125977,143,
3.767496000,0.016810000,1448,127425,143,
3.767529000,0.000033000,1448,128873,143,
3.767531000,0.000002000,1448,130321,143,
3.767533000,0.000002000,1448,131769,143,
3.781291000,0.013758000,1448,133217,143,
3.781356000,0.000065000,1448,134665,143,
3.781363000,0.000007000,1448,136113,143,
3.781367000,0.000004000,1448,137561,143,
3.792466000,0.011099000,0,143,105705,0.064125000
3.794382000,0.001916000,1448,139009,143,
3.794419000,0.000037000,1448,140457,143,
3.794422000,0.000003000,1448,141905,143,
3.794425000,0.000003000,1448,143353,143,
3.795614000,0.001189000,0,143,107153,0.067235000
3.797883000,0.002269000,0,143,108601,0.069501000
3.801257000,0.003374000,0,143,110049,0.072873000
3.801289000,0.000032000,0,143,111497,0.072903000
3.804527000,0.003238000,1448,144801,143,
3.804557000,0.000030000,1448,146249,143,
3.807530000,0.002973000,0,143,112945,0.079142000
3.807546000,0.000016000,0,143,114393,0.071967000
3.809806000,0.002260000,0,143,115841,0.074175000
3.812260000,0.002454000,0,143,117289,0.076621000
3.814462000,0.002202000,0,143,118737,0.078819000
3.814595000,0.000133000,1448,147697,143,
3.814659000,0.000064000,1448,149145,143,
3.817109000,0.002450000,0,143,120185,0.081463000
3.820308000,0.003199000,0,143,121633,0.084659000
3.824782000,0.004474000,0,143,123081,0.082034000
3.824805000,0.000023000,0,143,124529,0.074196000
3.824808000,0.000003000,0,143,125977,0.074128000
3.828748000,0.003940000,0,143,127425,0.078062000
3.830380000,0.001632000,1448,150593,143,
3.830429000,0.000049000,1448,152041,143,
3.830437000,0.000008000,1448,153489,143,
3.830441000,0.000004000,1448,154937,143,
3.831927000,0.001486000,0,143,128873,0.064431000
3.834331000,0.002404000,0,143,130321,0.066802000
3.835176000,0.000845000,1448,156385,143,
3.835311000,0.000135000,1448,157833,143,
3.835416000,0.000105000,1448,159281,143,
3.836357000,0.000941000,0,143,131769,0.068826000
3.839163000,0.002806000,0,143,133217,0.071630000
3.843276000,0.004113000,1448,160729,143,
3.843295000,0.000019000,1448,162177,143,
3.843297000,0.000002000,1448,163625,143,
