frame.time_relative,frame.time_delta,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
0.181052000,0.092893000,5,60,10.0.0.2,52100,148.113.1.33,80,0,0,0
0.358068000,0.007468000,7,60,148.113.1.33,80,10.0.0.2,52100,0,0,1
0.450263000,0.092195000,8,52,10.0.0.2,52100,148.113.1.33,80,0,1,1
0.450331000,0.000068000,9,194,10.0.0.2,52100,148.113.1.33,80,142,1,1
0.577164000,0.126833000,10,52,148.113.1.33,80,10.0.0.2,52100,0,1,143
0.577265000,0.000101000,11,422,148.113.1.33,80,10.0.0.2,52100,370,1,143
0.673457000,0.096192000,12,52,10.0.0.2,52100,148.113.1.33,80,0,143,371
0.734316000,0.060859000,13,60,10.0.0.2,60048,148.113.1.33,443,0,0,0
0.905146000,0.170830000,14,60,148.113.1.33,443,10.0.0.2,60048,0,0,1
0.998789000,0.093643000,15,52,10.0.0.2,60048,148.113.1.33,443,0,1,1
0.998865000,0.000076000,16,463,10.0.0.2,60048,148.113.1.33,443,411,1,1
1.033537000,0.034672000,17,52,148.113.1.33,443,10.0.0.2,60048,0,1,412
1.118290000,0.084753000,18,52,148.113.1.33,443,10.0.0.2,60048,0,1,412
1.118361000,0.000071000,19,1436,148.113.1.33,443,10.0.0.2,60048,1384,1,412
1.118367000,0.000006000,20,1436,148.113.1.33,443,10.0.0.2,60048,1384,1385,412
1.118372000,0.000005000,21,1380,148.113.1.33,443,10.0.0.2,60048,1328,2769,412
1.118375000,0.000003000,22,1056,148.113.1.33,443,10.0.0.2,60048,1004,4097,412
1.209434000,0.091059000,23,52,10.0.0.2,60048,148.113.1.33,443,0,412,1385
1.209490000,0.000056000,24,52,10.0.0.2,60048,148.113.1.33,443,0,412,2769
1.215053000,0.005563000,25,52,10.0.0.2,60048,148.113.1.33,443,0,412,4097
1.221796000,0.006743000,26,52,10.0.0.2,60048,148.113.1.33,443,0,412,5101
1.227616000,0.005820000,27,145,10.0.0.2,60048,148.113.1.33,443,93,412,5101
1.332786000,0.105170000,28,326,148.113.1.33,443,10.0.0.2,60048,274,5101,505
1.425333000,0.092547000,29,223,10.0.0.2,60048,148.113.1.33,443,171,505,5375
1.549046000,0.123713000,30,1436,148.113.1.33,443,10.0.0.2,60048,1384,5375,676
1.549147000,0.000101000,31,1436,148.113.1.33,443,10.0.0.2,60048,1384,6759,676
1.549153000,0.000006000,32,1436,148.113.1.33,443,10.0.0.2,60048,1384,8143,676
1.549158000,0.000005000,33,1436,148.113.1.33,443,10.0.0.2,60048,1384,9527,676
1.549162000,0.000004000,34,1436,148.113.1.33,443,10.0.0.2,60048,1384,10911,676
1.549166000,0.000004000,35,1436,148.113.1.33,443,10.0.0.2,60048,1384,12295,676
1.549171000,0.000005000,36,1436,148.113.1.33,443,10.0.0.2,60048,1384,13679,676
1.549414000,0.000243000,37,1436,148.113.1.33,443,10.0.0.2,60048,1384,15063,676
1.549456000,0.000042000,38,1436,148.113.1.33,443,10.0.0.2,60048,1384,16447,676
1.549462000,0.000006000,39,1436,148.113.1.33,443,10.0.0.2,60048,1384,17831,676
1.643070000,0.093608000,40,52,10.0.0.2,60048,148.113.1.33,443,0,676,8143
1.654453000,0.011383000,41,52,10.0.0.2,60048,148.113.1.33,443,0,676,10911
1.666917000,0.012464000,42,52,10.0.0.2,60048,148.113.1.33,443,0,676,13679
1.679139000,0.012222000,43,52,10.0.0.2,60048,148.113.1.33,443,0,676,16447
1.691658000,0.012519000,44,52,10.0.0.2,60048,148.113.1.33,443,0,676,19215
1.723697000,0.032039000,45,1436,148.113.1.33,443,10.0.0.2,60048,1384,19215,676
1.723846000,0.000149000,46,1436,148.113.1.33,443,10.0.0.2,60048,1384,20599,676
1.723855000,0.000009000,47,1436,148.113.1.33,443,10.0.0.2,60048,1384,21983,676
1.725406000,0.001551000,48,1436,148.113.1.33,443,10.0.0.2,60048,1384,23367,676
1.727897000,0.002491000,49,1436,148.113.1.33,443,10.0.0.2,60048,1384,24751,676
1.728016000,0.000119000,50,1436,148.113.1.33,443,10.0.0.2,60048,1384,26135,676
1.729324000,0.001308000,51,1436,148.113.1.33,443,10.0.0.2,60048,1384,27519,676
1.729414000,0.000090000,52,1436,148.113.1.33,443,10.0.0.2,60048,1384,28903,676
1.743441000,0.014027000,53,1436,148.113.1.33,443,10.0.0.2,60048,1384,30287,676
1.743534000,0.000093000,54,1436,148.113.1.33,443,10.0.0.2,60048,1384,31671,676
1.743540000,0.000006000,55,1436,148.113.1.33,443,10.0.0.2,60048,1384,33055,676
1.743545000,0.000005000,56,1436,148.113.1.33,443,10.0.0.2,60048,1384,34439,676
1.763729000,0.020184000,57,1436,148.113.1.33,443,10.0.0.2,60048,1384,35823,676
1.763880000,0.000151000,58,1436,148.113.1.33,443,10.0.0.2,60048,1384,37207,676
1.763887000,0.000007000,59,1436,148.113.1.33,443,10.0.0.2,60048,1384,38591,676
1.763892000,0.000005000,60,1436,148.113.1.33,443,10.0.0.2,60048,1384,39975,676
1.768533000,0.004641000,61,1436,148.113.1.33,443,10.0.0.2,60048,1384,41359,676
1.768627000,0.000094000,62,1436,148.113.1.33,443,10.0.0.2,60048,1384,42743,676
1.768633000,0.000006000,63,1436,148.113.1.33,443,10.0.0.2,60048,1384,44127,676
1.768638000,0.000005000,64,1436,148.113.1.33,443,10.0.0.2,60048,1384,45511,676
1.818113000,0.049475000,65,52,10.0.0.2,60048,148.113.1.33,443,0,676,21983
1.818221000,0.000108000,66,52,10.0.0.2,52100,148.113.1.33,80,0,143,371
1.829899000,0.011678000,67,52,10.0.0.2,60048,148.113.1.33,443,0,676,24751
1.847252000,0.017353000,68,52,10.0.0.2,60048,148.113.1.33,443,0,676,27519
1.853866000,0.006614000,69,52,10.0.0.2,60048,148.113.1.33,443,0,676,30287
1.865095000,0.011229000,70,52,10.0.0.2,60048,148.113.1.33,443,0,676,33055
1.878103000,0.013008000,71,52,10.0.0.2,60048,148.113.1.33,443,0,676,35823
1.889833000,0.011730000,72,52,10.0.0.2,60048,148.113.1.33,443,0,676,38591
1.900853000,0.011020000,73,1436,148.113.1.33,443,10.0.0.2,60048,1384,46895,676
1.900928000,0.000075000,74,1436,148.113.1.33,443,10.0.0.2,60048,1384,48279,676
1.900933000,0.000005000,75,1436,148.113.1.33,443,10.0.0.2,60048,1384,49663,676
1.900938000,0.000005000,76,1436,148.113.1.33,443,10.0.0.2,60048,1384,51047,676
1.901422000,0.000484000,77,52,10.0.0.2,60048,148.113.1.33,443,0,676,41359
1.905450000,0.004028000,78,52,148.113.1.33,80,10.0.0.2,52100,0,371,144
1.906822000,0.001372000,79,1436,148.113.1.33,443,10.0.0.2,60048,1384,52431,676
1.906898000,0.000076000,80,1436,148.113.1.33,443,10.0.0.2,60048,1384,53815,676
1.906904000,0.000006000,81,1436,148.113.1.33,443,10.0.0.2,60048,1384,55199,676
