frame.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
1.561356000,12,60,10.0.0.2,54882,90.130.70.73,80,0,0,0
1.851987000,13,60,90.130.70.73,80,10.0.0.2,54882,0,0,1
1.998234000,14,52,10.0.0.2,54882,90.130.70.73,80,0,1,1
1.998319000,15,189,10.0.0.2,54882,90.130.70.73,80,137,1,1
2.027638000,16,52,90.130.70.73,80,10.0.0.2,54882,0,1,138
2.450689000,17,52,90.130.70.73,80,10.0.0.2,54882,0,1,138
2.450784000,18,1500,90.130.70.73,80,10.0.0.2,54882,1448,1,138
2.450792000,19,1500,90.130.70.73,80,10.0.0.2,54882,1448,1449,138
2.462136000,20,1500,90.130.70.73,80,10.0.0.2,54882,1448,2897,138
2.462272000,21,1500,90.130.70.73,80,10.0.0.2,54882,1448,4345,138
2.551441000,22,1500,90.130.70.73,80,10.0.0.2,54882,1448,5793,138
2.551521000,23,1500,90.130.70.73,80,10.0.0.2,54882,1448,7241,138
2.552815000,24,1500,90.130.70.73,80,10.0.0.2,54882,1448,8689,138
2.552887000,25,1500,90.130.70.73,80,10.0.0.2,54882,1448,10137,138
2.651744000,26,1500,90.130.70.73,80,10.0.0.2,54882,1448,11585,138
2.651817000,27,1500,90.130.70.73,80,10.0.0.2,54882,1448,13033,138
2.685264000,28,52,10.0.0.2,54882,90.130.70.73,80,0,138,1449
2.685349000,29,52,10.0.0.2,54882,90.130.70.73,80,0,138,2897
2.746852000,30,52,10.0.0.2,54882,90.130.70.73,80,0,138,4345
2.810018000,31,52,10.0.0.2,54882,90.130.70.73,80,0,138,5793
2.872891000,32,52,10.0.0.2,54882,90.130.70.73,80,0,138,7241
2.935502000,33,52,10.0.0.2,54882,90.130.70.73,80,0,138,7241
2.956691000,34,1500,90.130.70.73,80,10.0.0.2,54882,1448,14481,138
2.956810000,35,1500,90.130.70.73,80,10.0.0.2,54882,1448,15929,138
2.956821000,36,1500,90.130.70.73,80,10.0.0.2,54882,1448,17377,138
2.956826000,37,1500,90.130.70.73,80,10.0.0.2,54882,1448,18825,138
2.997151000,38,52,10.0.0.2,54882,90.130.70.73,80,0,138,7241
3.018417000,39,1500,90.130.70.73,80,10.0.0.2,54882,1448,20273,138
3.018485000,40,1500,90.130.70.73,80,10.0.0.2,54882,1448,21721,138
3.030744000,41,1500,90.130.70.73,80,10.0.0.2,54882,1448,23169,138
3.030852000,42,1500,90.130.70.73,80,10.0.0.2,54882,1448,24617,138
3.123191000,43,52,10.0.0.2,54882,90.130.70.73,80,0,138,7241
3.145870000,44,1500,90.130.70.73,80,10.0.0.2,54882,1448,26065,138
3.145931000,45,1500,90.130.70.73,80,10.0.0.2,54882,1448,27513,138
3.185266000,46,52,10.0.0.2,54882,90.130.70.73,80,0,138,7241
3.205200000,47,1500,90.130.70.73,80,10.0.0.2,54882,1448,28961,138
3.247542000,48,52,10.0.0.2,54882,90.130.70.73,80,0,138,7241
3.280865000,49,1500,90.130.70.73,80,10.0.0.2,54882,1448,30409,138
3.310764000,51,52,10.0.0.2,54882,90.130.70.73,80,0,138,7241
3.340545000,52,1500,90.130.70.73,80,10.0.0.2,54882,1448,7241,138
3.372943000,53,52,10.0.0.2,54882,90.130.70.73,80,0,138,7241
3.435924000,54,52,10.0.0.2,54882,90.130.70.73,80,0,138,7241
3.452447000,55,1500,90.130.70.73,80,10.0.0.2,54882,1448,31857,138
3.497405000,56,52,10.0.0.2,54882,90.130.70.73,80,0,138,7241
3.559022000,57,52,10.0.0.2,54882,90.130.70.73,80,0,138,7241
3.586572000,58,1500,90.130.70.73,80,10.0.0.2,54882,1448,33305,138
3.595174000,59,1500,90.130.70.73,80,10.0.0.2,54882,1448,34753,138
3.622623000,60,52,10.0.0.2,54882,90.130.70.73,80,0,138,7241
3.622787000,61,52,10.0.0.2,54882,90.130.70.73,80,0,138,8689
3.684240000,62,52,10.0.0.2,54882,90.130.70.73,80,0,138,8689
3.747829000,63,52,10.0.0.2,54882,90.130.70.73,80,0,138,8689
3.763501000,64,1500,90.130.70.73,80,10.0.0.2,54882,1448,36201,138
3.777135000,65,1500,90.130.70.73,80,10.0.0.2,54882,1448,37649,138
3.809745000,66,52,10.0.0.2,54882,90.130.70.73,80,0,138,8689
3.934198000,67,52,10.0.0.2,54882,90.130.70.73,80,0,138,8689
3.962218000,68,1500,90.130.70.73,80,10.0.0.2,54882,1448,8689,138
3.962305000,69,1500,90.130.70.73,80,10.0.0.2,54882,1448,39097,138
3.975716000,70,1500,90.130.70.73,80,10.0.0.2,54882,1448,40545,138
3.997097000,71,52,10.0.0.2,54882,90.130.70.73,80,0,138,8689
4.123012000,72,52,10.0.0.2,54882,90.130.70.73,80,0,138,10137
4.132172000,73,1500,90.130.70.73,80,10.0.0.2,54882,1448,41993,138
4.184033000,74,52,10.0.0.2,54882,90.130.70.73,80,0,138,10137
4.186504000,75,1500,90.130.70.73,80,10.0.0.2,54882,1448,43441,138
4.214352000,76,1500,90.130.70.73,80,10.0.0.2,54882,1448,44889,138
4.247008000,77,52,10.0.0.2,54882,90.130.70.73,80,0,138,10137
4.336687000,79,1500,90.130.70.73,80,10.0.0.2,54882,1448,10137,138
4.336774000,80,1500,90.130.70.73,80,10.0.0.2,54882,1448,46337,138
4.373132000,81,52,10.0.0.2,54882,90.130.70.73,80,0,138,10137
4.407969000,82,1500,90.130.70.73,80,10.0.0.2,54882,1448,47785,138
4.434809000,83,52,10.0.0.2,54882,90.130.70.73,80,0,138,10137
4.457921000,84,1500,90.130.70.73,80,10.0.0.2,54882,1448,49233,138
4.496339000,85,52,10.0.0.2,54882,90.130.70.73,80,0,138,10137
4.559765000,86,52,10.0.0.2,54882,90.130.70.73,80,0,138,21721
4.559816000,87,52,10.0.0.2,54882,90.130.70.73,80,0,138,21721
4.584707000,88,1500,90.130.70.73,80,10.0.0.2,54882,1448,50681,138
4.621679000,89,52,10.0.0.2,54882,90.130.70.73,80,0,138,21721
4.645536000,90,1500,90.130.70.73,80,10.0.0.2,54882,1448,52129,138
4.684653000,91,52,10.0.0.2,54882,90.130.70.73,80,0,138,21721
4.711706000,92,1500,90.130.70.73,80,10.0.0.2,54882,1448,53577,138
4.746163000,93,52,10.0.0.2,54882,90.130.70.73,80,0,138,21721
