frame.time_relative,frame.time_delta,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
0.248571000,0.162822000,5,60,10.0.0.2,33882,148.113.1.33,80,0,0,0
0.315710000,0.067139000,6,60,148.113.1.33,80,10.0.0.2,33882,0,0,1
0.499333000,0.183623000,7,52,10.0.0.2,33882,148.113.1.33,80,0,1,1
0.499416000,0.000083000,8,194,10.0.0.2,33882,148.113.1.33,80,142,1,1
0.608482000,0.109066000,9,52,148.113.1.33,80,10.0.0.2,33882,0,1,143
0.608560000,0.000078000,10,422,148.113.1.33,80,10.0.0.2,33882,370,1,143
0.748760000,0.140200000,11,52,10.0.0.2,33882,148.113.1.33,80,0,143,371
0.810016000,0.061256000,12,60,10.0.0.2,56158,148.113.1.33,443,0,0,0
0.930872000,0.120856000,13,60,148.113.1.33,443,10.0.0.2,56158,0,0,1
1.061189000,0.130317000,14,52,10.0.0.2,56158,148.113.1.33,443,0,1,1
1.061354000,0.000165000,15,463,10.0.0.2,56158,148.113.1.33,443,411,1,1
1.080996000,0.019642000,16,52,148.113.1.33,443,10.0.0.2,56158,0,1,412
1.150619000,0.069623000,17,1436,148.113.1.33,443,10.0.0.2,56158,1384,1,412
1.150718000,0.000099000,18,1436,148.113.1.33,443,10.0.0.2,56158,1384,1385,412
1.150726000,0.000008000,19,1380,148.113.1.33,443,10.0.0.2,56158,1328,2769,412
1.150734000,0.000008000,20,1056,148.113.1.33,443,10.0.0.2,56158,1004,4097,412
1.311342000,0.160608000,21,52,10.0.0.2,56158,148.113.1.33,443,0,412,1385
1.374666000,0.063324000,22,52,10.0.0.2,56158,148.113.1.33,443,0,412,2769
1.435523000,0.060857000,23,52,10.0.0.2,56158,148.113.1.33,443,0,412,4097
1.499209000,0.063686000,24,52,10.0.0.2,56158,148.113.1.33,443,0,412,5101
1.499368000,0.000159000,25,145,10.0.0.2,56158,148.113.1.33,443,93,412,5101
1.683248000,0.183880000,26,326,148.113.1.33,443,10.0.0.2,56158,274,5101,505
1.811208000,0.127960000,27,223,10.0.0.2,56158,148.113.1.33,443,171,505,5375
1.899675000,0.088467000,28,1436,148.113.1.33,443,10.0.0.2,56158,1384,5375,676
1.899762000,0.000087000,29,1436,148.113.1.33,443,10.0.0.2,56158,1384,6759,676
1.899767000,0.000005000,30,1436,148.113.1.33,443,10.0.0.2,56158,1384,8143,676
